Nationality,Name,Photo,Club,Wage,Overall
Guinea,I. Traoré,https://cdn.sofifa.org/players/4/19/183909.png,Borussia Mönchengladbach,€34K,79
Argentina,G. Mercado,https://cdn.sofifa.org/players/4/19/183892.png,Sevilla FC,€19K,79
Germany,N. Petersen,https://cdn.sofifa.org/players/4/19/183580.png,SC Freiburg,€35K,79
Greece,O. Karnezis,https://cdn.sofifa.org/players/4/19/183497.png,Napoli,€48K,79
France,M. Sakho,https://cdn.sofifa.org/players/4/19/183285.png,Crystal Palace,€58K,79
Brazil,Sidnei,https://cdn.sofifa.org/players/4/19/182002.png,Real Betis,€27K,79
Montenegro,S. Jovetić,https://cdn.sofifa.org/players/4/19/181820.png,AS Monaco,€79K,79
Italy,Eder,https://cdn.sofifa.org/players/4/19/178311.png,Jiangsu Suning FC,€29K,79
Mexico,J. Hernández,https://cdn.sofifa.org/players/4/19/178224.png,West Ham United,€90K,79
Spain,Fabricio,https://cdn.sofifa.org/players/4/19/177723.png,Fulham,€47K,79
Spain,Kiko Casilla,https://cdn.sofifa.org/players/4/19/177644.png,Real Madrid,€105K,79
Spain,Ángel,https://cdn.sofifa.org/players/4/19/177633.png,Getafe CF,€31K,79
France,M. Schneiderlin,https://cdn.sofifa.org/players/4/19/177358.png,Everton,€92K,79
Belgium,M. Fellaini,https://cdn.sofifa.org/players/4/19/176944.png,Manchester United,€120K,79
Sweden,P. Wernbloom,https://cdn.sofifa.org/players/4/19/176731.png,PAOK,€1K,79
Colombia,D. Ospina,https://cdn.sofifa.org/players/4/19/176550.png,Napoli,€80K,79
Belgium,S. Mignolet,https://cdn.sofifa.org/players/4/19/173426.png,Liverpool,€76K,79
Bosnia Herzegovina,A. Begović,https://cdn.sofifa.org/players/4/19/172723.png,Bournemouth,€52K,79
Turkey,N. Şahin,https://cdn.sofifa.org/players/4/19/170797.png,SV Werder Bremen,€32K,79
England,R. Bertrand,https://cdn.sofifa.org/players/4/19/169705.png,Southampton,€53K,79
Italy,A. Masiello,https://cdn.sofifa.org/players/4/19/169115.png,Atalanta,€30K,79
England,T. Walcott,https://cdn.sofifa.org/players/4/19/164859.png,Everton,€105K,79
Brazil,Charles,https://cdn.sofifa.org/players/4/19/164029.png,SD Eibar,€31K,79
England,T. Heaton,https://cdn.sofifa.org/players/4/19/163264.png,Burnley,€45K,79
France,H. Ben Arfa,https://cdn.sofifa.org/players/4/19/161648.png,Stade Rennais FC,€38K,79
Argentina,D. Abraham,https://cdn.sofifa.org/players/4/19/160741.png,Eintracht Frankfurt,€37K,79
Argentina,E. Lavezzi,https://cdn.sofifa.org/players/4/19/159065.png,Hebei China Fortune FC,€22K,79
Ivory Coast,S. Kalou,https://cdn.sofifa.org/players/4/19/158232.png,Hertha BSC,€34K,79
Peru,J. Farfán,https://cdn.sofifa.org/players/4/19/158133.png,Lokomotiv Moscow,€1K,79
Netherlands,R. Babel,https://cdn.sofifa.org/players/4/19/157301.png,Beşiktaş JK,€55K,79
England,A. Young,https://cdn.sofifa.org/players/4/19/152908.png,Manchester United,€110K,79
England,J. Hart,https://cdn.sofifa.org/players/4/19/150724.png,Burnley,€45K,79
Argentina,L. López,https://cdn.sofifa.org/players/4/19/142707.png,Racing Club,€22K,79
Germany,D. Baier,https://cdn.sofifa.org/players/4/19/137351.png,FC Augsburg,€28K,79
Turkey,B. Yılmaz,https://cdn.sofifa.org/players/4/19/124375.png,Trabzonspor,€41K,79
Germany,R. Adler,https://cdn.sofifa.org/players/4/19/121933.png,1. FSV Mainz 05,€25K,79
Switzerland,S. Lichtsteiner,https://cdn.sofifa.org/players/4/19/108080.png,Arsenal,€94K,79
Togo,E. Adebayor,https://cdn.sofifa.org/players/4/19/53050.png,Medipol Başakşehir FK,€34K,79
Turkey,E. Belözoğlu,https://cdn.sofifa.org/players/4/19/80.png,Medipol Başakşehir FK,€23K,79
Spain,Loren,https://cdn.sofifa.org/players/4/19/242348.png,Real Betis,€25K,78
Brazil,Éder Militão,https://cdn.sofifa.org/players/4/19/240130.png,FC Porto,€10K,78
Italy,F. Chiesa,https://cdn.sofifa.org/players/4/19/235805.png,Fiorentina,€46K,78
Italy,M. Lazzari,https://cdn.sofifa.org/players/4/19/235374.png,SPAL,€15K,78
Morocco,A. Hakimi,https://cdn.sofifa.org/players/4/19/235212.png,Borussia Dortmund,€49K,78
Japan,S. Nakajima,https://cdn.sofifa.org/players/4/19/232862.png,Portimonense SC,€12K,78
Serbia,L. Jović,https://cdn.sofifa.org/players/4/19/232432.png,Eintracht Frankfurt,€12K,78
Argentina,S. Ascacíbar,https://cdn.sofifa.org/players/4/19/232244.png,VfB Stuttgart,€24K,78
France,A. Lafont,https://cdn.sofifa.org/players/4/19/231691.png,Fiorentina,€12K,78
England,T. Alexander-Arnold,https://cdn.sofifa.org/players/4/19/231281.png,Liverpool,€36K,78
Croatia,F. Krovinović,https://cdn.sofifa.org/players/4/19/230988.png,SL Benfica,€12K,78
Brazil,Sidney Pessinho,https://cdn.sofifa.org/players/4/19/230431.png,Internacional,€27K,78
Brazil,Everticinho,https://cdn.sofifa.org/players/4/19/230360.png,Grêmio,€29K,78
Brazil,Claudio Coíntra,https://cdn.sofifa.org/players/4/19/230269.png,Internacional,€30K,78
Brazil,Ronaldo Esler,https://cdn.sofifa.org/players/4/19/230184.png,Atlético Mineiro,€34K,78
France,P. Lees-Melou,https://cdn.sofifa.org/players/4/19/230020.png,OGC Nice,€33K,78
England,B. Chilwell,https://cdn.sofifa.org/players/4/19/229984.png,Leicester City,€43K,78
Portugal,João Novais,https://cdn.sofifa.org/players/4/19/229406.png,SC Braga,€15K,78
Italy,D. Calabria,https://cdn.sofifa.org/players/4/19/228881.png,Milan,€52K,78
France,F. Mendy,https://cdn.sofifa.org/players/4/19/228618.png,Olympique Lyonnais,€47K,78
Italy,L. Pellegrini,https://cdn.sofifa.org/players/4/19/228251.png,Roma,€51K,78
Brazil,Soares,https://cdn.sofifa.org/players/4/19/227476.png,FC Porto,€17K,78
Portugal,Daniel Podence,https://cdn.sofifa.org/players/4/19/226766.png,Olympiacos CFP,€1K,78
Argentina,M. Díaz,https://cdn.sofifa.org/players/4/19/226379.png,Club Atlético Huracán,€15K,78
Argentina,G. Martínez,https://cdn.sofifa.org/players/4/19/226377.png,River Plate,€25K,78
Germany,M. Eggestein,https://cdn.sofifa.org/players/4/19/226168.png,SV Werder Bremen,€22K,78
Egypt,Trezeguet,https://cdn.sofifa.org/players/4/19/226078.png,Kasimpaşa SK,€15K,78
Germany,N. Amiri,https://cdn.sofifa.org/players/4/19/225309.png,TSG 1899 Hoffenheim,€27K,78
Spain,Vallejo,https://cdn.sofifa.org/players/4/19/225161.png,Real Madrid,€81K,78
England,J. Gomez,https://cdn.sofifa.org/players/4/19/225100.png,Liverpool,€61K,78
Portugal,Diogo Jota,https://cdn.sofifa.org/players/4/19/224458.png,Wolverhampton Wanderers,€56K,78
Spain,Joan Jordán,https://cdn.sofifa.org/players/4/19/224309.png,SD Eibar,€22K,78
Brazil,Dyego Sousa,https://cdn.sofifa.org/players/4/19/224116.png,SC Braga,€19K,78
Montenegro,A. Marušić,https://cdn.sofifa.org/players/4/19/224031.png,Lazio,€46K,78
Spain,David Soria,https://cdn.sofifa.org/players/4/19/223952.png,Getafe CF,€18K,78
France,V. Rongier,https://cdn.sofifa.org/players/4/19/223874.png,FC Nantes,€25K,78
Netherlands,W. Weghorst,https://cdn.sofifa.org/players/4/19/223689.png,VfL Wolfsburg,€48K,78
Syria,O. Al Soma,https://cdn.sofifa.org/players/4/19/223627.png,Al Ahli,€47K,78
Zimbabwe,M. Nakamba,https://cdn.sofifa.org/players/4/19/222994.png,Club Brugge KV,€20K,78
Brazil,Petros,https://cdn.sofifa.org/players/4/19/222709.png,Al Nassr,€43K,78
Spain,Pablo Maffeo,https://cdn.sofifa.org/players/4/19/221342.png,VfB Stuttgart,€24K,78
Colombia,Y. Mina,https://cdn.sofifa.org/players/4/19/220523.png,Everton,€68K,78
Slovakia,M. Dúbravka,https://cdn.sofifa.org/players/4/19/220407.png,Newcastle United,€39K,78
Brazil,Diego Carlos,https://cdn.sofifa.org/players/4/19/219693.png,FC Nantes,€25K,78
Togo,D. Djené,https://cdn.sofifa.org/players/4/19/217940.png,Getafe CF,€23K,78
Argentina,G. Simeone,https://cdn.sofifa.org/players/4/19/216816.png,Fiorentina,€53K,78
Argentina,M. Meza,https://cdn.sofifa.org/players/4/19/216700.png,Independiente,€23K,78
Angola,Bastos,https://cdn.sofifa.org/players/4/19/216655.png,Lazio,€44K,78
Slovakia,S. Lobotka,https://cdn.sofifa.org/players/4/19/216435.png,RC Celta,€22K,78
Belgium,Y. Tielemans,https://cdn.sofifa.org/players/4/19/216393.png,AS Monaco,€47K,78
Brazil,Marcelo Goiano,https://cdn.sofifa.org/players/4/19/216373.png,SC Braga,€15K,78
Netherlands,K. Tete,https://cdn.sofifa.org/players/4/19/216266.png,Olympique Lyonnais,€47K,78
Spain,Capa,https://cdn.sofifa.org/players/4/19/216189.png,Athletic Club de Bilbao,€23K,78
Italy,M. Sportiello,https://cdn.sofifa.org/players/4/19/216065.png,Frosinone,€22K,78
Brazil,Jemerson,https://cdn.sofifa.org/players/4/19/215792.png,AS Monaco,€55K,78
Serbia,N. Maksimović,https://cdn.sofifa.org/players/4/19/215466.png,Napoli,€54K,78
Colombia,D. Zapata,https://cdn.sofifa.org/players/4/19/215333.png,Atalanta,€41K,78
Argentina,J. Correa,https://cdn.sofifa.org/players/4/19/215330.png,Lazio,€42K,78
Argentina,E. Rigoni,https://cdn.sofifa.org/players/4/19/215259.png,Atalanta,€29K,78
Argentina,C. Izquierdoz,https://cdn.sofifa.org/players/4/19/214766.png,Boca Juniors,€25K,78
Colombia,W. Barrios,https://cdn.sofifa.org/players/4/19/214394.png,Boca Juniors,€20K,78
Colombia,J. Mojica,https://cdn.sofifa.org/players/4/19/214026.png,Girona FC,€28K,78
Russia,A. Selikhov,https://cdn.sofifa.org/players/4/19/213732.png,Spartak Moscow,€1K,78
Nigeria,A. Iwobi,https://cdn.sofifa.org/players/4/19/213655.png,Arsenal,€81K,78
Uruguay,D. Laxalt,https://cdn.sofifa.org/players/4/19/213400.png,Milan,€76K,78
Algeria,N. Bentaleb,https://cdn.sofifa.org/players/4/19/213296.png,FC Schalke 04,€29K,78
Germany,N. Stark,https://cdn.sofifa.org/players/4/19/212977.png,Hertha BSC,€24K,78
Gabon,M. Lemina,https://cdn.sofifa.org/players/4/19/212811.png,Southampton,€44K,78
Belgium,L. Dendoncker,https://cdn.sofifa.org/players/4/19/212501.png,Wolverhampton Wanderers,€18K,78
Portugal,Ricardo Esgaio,https://cdn.sofifa.org/players/4/19/212213.png,SC Braga,€16K,78
Denmark,P. Sisto,https://cdn.sofifa.org/players/4/19/212196.png,RC Celta,€25K,78
Germany,P. Max,https://cdn.sofifa.org/players/4/19/212187.png,FC Augsburg,€22K,78
Italy,R. Gagliardini,https://cdn.sofifa.org/players/4/19/212153.png,Inter,€46K,78
Spain,Pere Pons,https://cdn.sofifa.org/players/4/19/211706.png,Girona FC,€31K,78
Italy,D. Berardi,https://cdn.sofifa.org/players/4/19/210935.png,Sassuolo,€50K,78
Germany,M. Halstenberg,https://cdn.sofifa.org/players/4/19/210665.png,RB Leipzig,€45K,78
Colombia,J. Quintero,https://cdn.sofifa.org/players/4/19/210513.png,River Plate,€15K,78
Brazil,Tiago Volpi,https://cdn.sofifa.org/players/4/19/209307.png,Querétaro,€10K,78
Spain,Óliver Torres,https://cdn.sofifa.org/players/4/19/208777.png,FC Porto,€13K,78
Spain,Omar Mascarell,https://cdn.sofifa.org/players/4/19/208620.png,FC Schalke 04,€29K,78
Japan,H. Sakai,https://cdn.sofifa.org/players/4/19/208520.png,Olympique de Marseille,€44K,78
Brazil,Andreas Pereira,https://cdn.sofifa.org/players/4/19/208450.png,Manchester United,€91K,78
Belgium,A. Januzaj,https://cdn.sofifa.org/players/4/19/208330.png,Real Sociedad,€29K,78
Italy,B. Cristante,https://cdn.sofifa.org/players/4/19/208268.png,Roma,€26K,78
Brazil,Matheus,https://cdn.sofifa.org/players/4/19/208104.png,SC Braga,€12K,78
Burkina Faso,B. Traoré,https://cdn.sofifa.org/players/4/19/207948.png,Olympique Lyonnais,€57K,78
Denmark,Y. Poulsen,https://cdn.sofifa.org/players/4/19/207791.png,RB Leipzig,€48K,78
Belgium,L. Trossard,https://cdn.sofifa.org/players/4/19/207421.png,KRC Genk,€17K,78
Germany,M. Arnold,https://cdn.sofifa.org/players/4/19/206511.png,VfL Wolfsburg,€40K,78
Italy,M. De Sciglio,https://cdn.sofifa.org/players/4/19/206058.png,Juventus,€78K,78
Brazil,Leo Baptistao,https://cdn.sofifa.org/players/4/19/205976.png,RCD Espanyol,€29K,78
Romania,V. Chiricheş,https://cdn.sofifa.org/players/4/19/205943.png,Napoli,€57K,78
Italy,L. Pavoletti,https://cdn.sofifa.org/players/4/19/205850.png,Cagliari,€39K,78
Italy,A. Cragno,https://cdn.sofifa.org/players/4/19/205659.png,Cagliari,€21K,78
Argentina,L. Castro,https://cdn.sofifa.org/players/4/19/205633.png,Cagliari,€36K,78
Germany,N. Füllkrug,https://cdn.sofifa.org/players/4/19/205431.png,Hannover 96,€38K,78
Morocco,F. Fajr,https://cdn.sofifa.org/players/4/19/205083.png,Stade Malherbe Caen,€28K,78
Mexico,R. Jiménez,https://cdn.sofifa.org/players/4/19/204838.png,Wolverhampton Wanderers,€15K,78
Argentina,E. Sala,https://cdn.sofifa.org/players/4/19/204819.png,FC Nantes,€31K,78
Uruguay,S. García,https://cdn.sofifa.org/players/4/19/204385.png,Godoy Cruz,€20K,78
Colombia,S. Arias,https://cdn.sofifa.org/players/4/19/204259.png,Atlético Madrid,€46K,78
France,B. Reynet,https://cdn.sofifa.org/players/4/19/204240.png,Toulouse Football Club,€24K,78
Spain,Pozuelo,https://cdn.sofifa.org/players/4/19/203895.png,KRC Genk,€19K,78
France,A. Trebel,https://cdn.sofifa.org/players/4/19/203886.png,RSC Anderlecht,€23K,78
England,J. Lascelles,https://cdn.sofifa.org/players/4/19/203487.png,Newcastle United,€39K,78
Netherlands,T. Kongolo,https://cdn.sofifa.org/players/4/19/203485.png,Huddersfield Town,€39K,78
Peru,A. Carrillo,https://cdn.sofifa.org/players/4/19/203299.png,Al Hilal,€14K,78
Spain,Álvaro,https://cdn.sofifa.org/players/4/19/202935.png,Villarreal CF,€32K,78
France,G. Defrel,https://cdn.sofifa.org/players/4/19/202851.png,Sampdoria,€64K,78
Brazil,Fernando,https://cdn.sofifa.org/players/4/19/202642.png,Spartak Moscow,€1K,78
Czech Republic,V. Darida,https://cdn.sofifa.org/players/4/19/201262.png,Hertha BSC,€30K,78
Italy,R. Saponara,https://cdn.sofifa.org/players/4/19/201046.png,Sampdoria,€56K,78
Portugal,Pedro Mendes,https://cdn.sofifa.org/players/4/19/200677.png,Montpellier HSC,€26K,78
Germany,C. Schindler,https://cdn.sofifa.org/players/4/19/200607.png,Huddersfield Town,€48K,78
Belgium,N. Chadli,https://cdn.sofifa.org/players/4/19/200529.png,AS Monaco,€66K,78
Spain,Arbilla,https://cdn.sofifa.org/players/4/19/199986.png,SD Eibar,€23K,78
England,L. Dunk,https://cdn.sofifa.org/players/4/19/199915.png,Brighton & Hove Albion,€46K,78
Chile,P. Hernández,https://cdn.sofifa.org/players/4/19/199827.png,Independiente,€24K,78
Sweden,J. Guidetti,https://cdn.sofifa.org/players/4/19/199602.png,Deportivo Alavés,€29K,78
Spain,Sergi Gómez,https://cdn.sofifa.org/players/4/19/199577.png,Sevilla FC,€17K,78
Spain,Oriol Romeu,https://cdn.sofifa.org/players/4/19/199576.png,Southampton,€46K,78
Spain,Lucas Pérez,https://cdn.sofifa.org/players/4/19/199354.png,West Ham United,€85K,78
Israel,B. Natcho,https://cdn.sofifa.org/players/4/19/198648.png,Olympiacos CFP,€1K,78
Portugal,Cláudio Ramos,https://cdn.sofifa.org/players/4/19/198513.png,CD Tondela,€6K,78
France,F. Lejeune,https://cdn.sofifa.org/players/4/19/197948.png,Newcastle United,€46K,78
Poland,G. Krychowiak,https://cdn.sofifa.org/players/4/19/197242.png,Lokomotiv Moscow,€1K,78
Uruguay,N. Lodeiro,https://cdn.sofifa.org/players/4/19/197225.png,Seattle Sounders FC,€11K,78
Turkey,O. Özyakup,https://cdn.sofifa.org/players/4/19/196934.png,Beşiktaş JK,€47K,78
Argentina,C. Tévez,https://cdn.sofifa.org/players/4/19/143001.png,Boca Juniors,€26K,78
Greece,K. Papadopoulos,https://cdn.sofifa.org/players/4/19/184477.png,Hamburger SV,€16K,78
Ivory Coast,M. Gradel,https://cdn.sofifa.org/players/4/19/182945.png,Toulouse Football Club,€32K,78
France,M. Debuchy,https://cdn.sofifa.org/players/4/19/158626.png,AS Saint-Étienne,€31K,78
Nigeria,V. Moses,https://cdn.sofifa.org/players/4/19/172962.png,Chelsea,€105K,78
Austria,Z. Junuzović,https://cdn.sofifa.org/players/4/19/173474.png,FC Red Bull Salzburg,€39K,78
Spain,Granero,https://cdn.sofifa.org/players/4/19/178085.png,RCD Espanyol,€30K,78
Austria,J. Baumgartlinger,https://cdn.sofifa.org/players/4/19/189606.png,Bayer 04 Leverkusen,€53K,78
Portugal,Fábio Coentrão,https://cdn.sofifa.org/players/4/19/171688.png,Rio Ave FC,€13K,78
France,B. Costil,https://cdn.sofifa.org/players/4/19/158121.png,FC Girondins de Bordeaux,€32K,78
Brazil,Hilton,https://cdn.sofifa.org/players/4/19/153260.png,Montpellier HSC,€18K,78
Serbia,N. Gudelj,https://cdn.sofifa.org/players/4/19/193198.png,Sporting CP,€19K,78
Argentina,L. Pratto,https://cdn.sofifa.org/players/4/19/184252.png,River Plate,€28K,78
Mexico,E. Hernández,https://cdn.sofifa.org/players/4/19/186302.png,Cruz Azul,€29K,78
Spain,Jurado,https://cdn.sofifa.org/players/4/19/159171.png,Al Ahli,€41K,78
France,R. Cabella,https://cdn.sofifa.org/players/4/19/193476.png,AS Saint-Étienne,€36K,78
Brazil,Rafael Tolói,https://cdn.sofifa.org/players/4/19/187598.png,Atalanta,€27K,78
Chile,C. Bravo,https://cdn.sofifa.org/players/4/19/174543.png,Manchester City,€50K,78
Brazil,Hernanes,https://cdn.sofifa.org/players/4/19/180432.png,Hebei China Fortune FC,€19K,78
Japan,K. Honda,https://cdn.sofifa.org/players/4/19/186581.png,Melbourne Victory,€12K,78
Russia,A. Dzyuba,https://cdn.sofifa.org/players/4/19/187607.png,NA,€0,78
Greece,J. Holebas,https://cdn.sofifa.org/players/4/19/182744.png,Watford,€51K,78
Spain,Javi García,https://cdn.sofifa.org/players/4/19/161754.png,Real Betis,€23K,78
Spain,Sergio,https://cdn.sofifa.org/players/4/19/163806.png,RC Celta,€19K,78
Uruguay,M. Cáceres,https://cdn.sofifa.org/players/4/19/182495.png,Lazio,€44K,78
Portugal,Daniel Carriço,https://cdn.sofifa.org/players/4/19/189156.png,Sevilla FC,€18K,78
England,J. Cork,https://cdn.sofifa.org/players/4/19/169706.png,Burnley,€58K,78
England,J. Tomkins,https://cdn.sofifa.org/players/4/19/173546.png,Crystal Palace,€53K,78
Russia,Guilherme,https://cdn.sofifa.org/players/4/19/180714.png,Lokomotiv Moscow,€1K,78
Ivory Coast,Gervinho,https://cdn.sofifa.org/players/4/19/170733.png,Parma,€49K,78
England,J. Shelvey,https://cdn.sofifa.org/players/4/19/189165.png,Newcastle United,€50K,78
Finland,R. Eremenko,https://cdn.sofifa.org/players/4/19/156142.png,Spartak Moscow,€1K,78
Netherlands,R. Vormer,https://cdn.sofifa.org/players/4/19/178415.png,Club Brugge KV,€26K,78
Netherlands,J. Lens,https://cdn.sofifa.org/players/4/19/178416.png,Beşiktaş JK,€50K,78
Brazil,Adriano,https://cdn.sofifa.org/players/4/19/164082.png,Beşiktaş JK,€45K,78
England,S. Cook,https://cdn.sofifa.org/players/4/19/193011.png,Bournemouth,€58K,78
Germany,L. Podolski,https://cdn.sofifa.org/players/4/19/150516.png,Vissel Kobe,€11K,78
Argentina,C. Ansaldi,https://cdn.sofifa.org/players/4/19/173306.png,Torino,€54K,78
Spain,Manu García,https://cdn.sofifa.org/players/4/19/172287.png,Deportivo Alavés,€24K,78
France,R. Alessandrini,https://cdn.sofifa.org/players/4/19/184575.png,LA Galaxy,€11K,78
England,J. Ward-Prowse,https://cdn.sofifa.org/players/4/19/205569.png,Southampton,€41K,77
Austria,M. Harnik,https://cdn.sofifa.org/players/4/19/177666.png,SV Werder Bremen,€31K,77
Cameroon,B. Moukandjo,https://cdn.sofifa.org/players/4/19/185090.png,Beijing Renhe FC,€25K,77
Uruguay,G. Pereiro,https://cdn.sofifa.org/players/4/19/229636.png,PSV,€15K,77
Germany,G. Castro,https://cdn.sofifa.org/players/4/19/167431.png,VfB Stuttgart,€34K,77
Spain,Aarón Martín,https://cdn.sofifa.org/players/4/19/236295.png,1. FSV Mainz 05,€18K,77
United States,F. Johnson,https://cdn.sofifa.org/players/4/19/177159.png,Borussia Mönchengladbach,€29K,77
Argentina,L. López,https://cdn.sofifa.org/players/4/19/215051.png,Genoa,€13K,77
Togo,M. Dossevi,https://cdn.sofifa.org/players/4/19/183820.png,Toulouse Football Club,€30K,77
Brazil,Caiuby,https://cdn.sofifa.org/players/4/19/189196.png,FC Augsburg,€27K,77
Brazil,Gabriel,https://cdn.sofifa.org/players/4/19/208141.png,SL Benfica,€11K,77
Spain,Iván Ramis,https://cdn.sofifa.org/players/4/19/146701.png,SD Eibar,€22K,77
Czech Republic,M. Suchý,https://cdn.sofifa.org/players/4/19/181262.png,FC Basel 1893,€26K,77
Netherlands,T. Vilhena,https://cdn.sofifa.org/players/4/19/203535.png,Feyenoord,€13K,77
Turkey,E. Çolak,https://cdn.sofifa.org/players/4/19/199952.png,Al Wehda,€27K,77
France,V. Germain,https://cdn.sofifa.org/players/4/19/203280.png,Olympique de Marseille,€49K,77
France,G. Hoarau,https://cdn.sofifa.org/players/4/19/156432.png,BSC Young Boys,€26K,77
Spain,Sergio García,https://cdn.sofifa.org/players/4/19/135697.png,RCD Espanyol,€23K,77
Cameroon,E. Choupo-Moting,https://cdn.sofifa.org/players/4/19/183569.png,Paris Saint-Germain,€75K,77
Argentina,J. Pinola,https://cdn.sofifa.org/players/4/19/146963.png,River Plate,€16K,77
Netherlands,J. Hendrix,https://cdn.sofifa.org/players/4/19/212755.png,PSV,€13K,77
Colombia,J. Izquierdo,https://cdn.sofifa.org/players/4/19/219411.png,Brighton & Hove Albion,€45K,77
Ukraine,S. Sydorchuk,https://cdn.sofifa.org/players/4/19/220948.png,Dynamo Kyiv,€1K,77
France,C. Grenier,https://cdn.sofifa.org/players/4/19/187924.png,Stade Rennais FC,€32K,77
Germany,T. Strobl,https://cdn.sofifa.org/players/4/19/207894.png,Borussia Mönchengladbach,€27K,77
Belgium,V. Odjidja-Ofoe,https://cdn.sofifa.org/players/4/19/175895.png,KAA Gent,€24K,77
Argentina,N. Guzmán,https://cdn.sofifa.org/players/4/19/176919.png,Tigres U.A.N.L.,€38K,77
Colombia,F. Fabra,https://cdn.sofifa.org/players/4/19/214040.png,Boca Juniors,€22K,77
England,J. Maddison,https://cdn.sofifa.org/players/4/19/220697.png,Leicester City,€45K,77
Morocco,K. El Ahmadi,https://cdn.sofifa.org/players/4/19/162329.png,Al Ittihad,€35K,77
Morocco,M. Carcela-González,https://cdn.sofifa.org/players/4/19/184089.png,Standard de Liège,€19K,77
Italy,M. Gabbiadini,https://cdn.sofifa.org/players/4/19/198683.png,Southampton,€51K,77
Brazil,Gomes,https://cdn.sofifa.org/players/4/19/135451.png,Watford,€25K,77
Scotland,M. Ritchie,https://cdn.sofifa.org/players/4/19/186395.png,Newcastle United,€49K,77
Argentina,G. Bou,https://cdn.sofifa.org/players/4/19/188955.png,Racing Club,€26K,77
Spain,Javi Fuego,https://cdn.sofifa.org/players/4/19/146460.png,Villarreal CF,€28K,77
Turkey,E. Akbaba,https://cdn.sofifa.org/players/4/19/230685.png,Galatasaray SK,€51K,77
France,J. Amavi,https://cdn.sofifa.org/players/4/19/219681.png,Olympique de Marseille,€34K,77
Ukraine,R. Malinovskyi,https://cdn.sofifa.org/players/4/19/231969.png,KRC Genk,€17K,77
England,D. Welbeck,https://cdn.sofifa.org/players/4/19/186146.png,Arsenal,€95K,77
Argentina,G. Conti,https://cdn.sofifa.org/players/4/19/221219.png,SL Benfica,€10K,77
Spain,Bruno,https://cdn.sofifa.org/players/4/19/200228.png,Getafe CF,€23K,77
Cape Verde,Garry Rodrigues,https://cdn.sofifa.org/players/4/19/210212.png,Galatasaray SK,€53K,77
Germany,A. Schwolow,https://cdn.sofifa.org/players/4/19/202789.png,SC Freiburg,€19K,77
England,L. Cook,https://cdn.sofifa.org/players/4/19/224294.png,Bournemouth,€44K,77
Argentina,P. Pérez,https://cdn.sofifa.org/players/4/19/215079.png,Boca Juniors,€24K,77
Brazil,Gazzolisco,https://cdn.sofifa.org/players/4/19/230183.png,Internacional,€26K,77
Spain,Jonatan Soriano,https://cdn.sofifa.org/players/4/19/110376.png,Beijing Sinobo Guoan FC,€23K,77
Spain,Rubén Peña,https://cdn.sofifa.org/players/4/19/211241.png,SD Eibar,€22K,77
Spain,Mikel San José,https://cdn.sofifa.org/players/4/19/185132.png,Athletic Club de Bilbao,€25K,77
Germany,P. Groß,https://cdn.sofifa.org/players/4/19/190765.png,Brighton & Hove Albion,€47K,77
England,L. Baines,https://cdn.sofifa.org/players/4/19/163631.png,Everton,€74K,77
Italy,A. Ogbonna,https://cdn.sofifa.org/players/4/19/183855.png,West Ham United,€65K,77
Brazil,Juan Jesus,https://cdn.sofifa.org/players/4/19/200752.png,Roma,€51K,77
Colombia,J. Martínez,https://cdn.sofifa.org/players/4/19/196144.png,Portimonense SC,€22K,77
Switzerland,N. Elvedi,https://cdn.sofifa.org/players/4/19/221491.png,Borussia Mönchengladbach,€19K,77
Colombia,G. Moreno,https://cdn.sofifa.org/players/4/19/196147.png,Shanghai Greenland Shenhua FC,€17K,77
Chile,J. Valdivia,https://cdn.sofifa.org/players/4/19/157492.png,Colo-Colo,€10K,77
England,A. Carroll,https://cdn.sofifa.org/players/4/19/182836.png,West Ham United,€80K,77
Portugal,Luís Neto,https://cdn.sofifa.org/players/4/19/204341.png,NA,€0,77
Ukraine,A. Pyatov,https://cdn.sofifa.org/players/4/19/142902.png,Shakhtar Donetsk,€1K,77
Colombia,T. Gutiérrez,https://cdn.sofifa.org/players/4/19/196150.png,Junior FC,€6K,77
Spain,Álex Remiro,https://cdn.sofifa.org/players/4/19/227127.png,Athletic Club de Bilbao,€15K,77
Portugal,Wilson Eduardo,https://cdn.sofifa.org/players/4/19/199737.png,SC Braga,€17K,77
Spain,Jorge Meré,https://cdn.sofifa.org/players/4/19/223033.png,1. FC Köln,€15K,77
Egypt,M. Elneny,https://cdn.sofifa.org/players/4/19/213051.png,Arsenal,€76K,77
Colombia,D. Torres,https://cdn.sofifa.org/players/4/19/214332.png,Deportivo Alavés,€24K,77
Morocco,Y. Bounou,https://cdn.sofifa.org/players/4/19/209981.png,Girona FC,€22K,77
Serbia,A. Prijović,https://cdn.sofifa.org/players/4/19/189757.png,PAOK,€1K,77
Iran,A. Jahanbakhsh,https://cdn.sofifa.org/players/4/19/215871.png,Brighton & Hove Albion,€41K,77
Argentina,J. Calleri,https://cdn.sofifa.org/players/4/19/219455.png,Deportivo Alavés,€24K,77
Brazil,Simão Acunha,https://cdn.sofifa.org/players/4/19/230463.png,Atlético Mineiro,€35K,77
Germany,N. Müller,https://cdn.sofifa.org/players/4/19/183871.png,Eintracht Frankfurt,€34K,77
