Name,Photo,Overall,Potential,Value,Wage,Age,Height,Club,Nationality,League,Country,InternationalReputation
Borja Garcés,https://cdn.sofifa.org/players/4/19/243652.png,64,83,NA,5,18,5'10,Atlético Madrid,Spain,La Liga,Spain,1
Borja García,https://cdn.sofifa.org/players/4/19/194761.png,79,79,13,35,27,5'9,Girona FC,Spain,La Liga,Spain,1
Borja Iglesias,https://cdn.sofifa.org/players/4/19/224179.png,77,82,12,29,25,6'2,RCD Espanyol,Spain,La Liga,Spain,1
Borja Lasso,https://cdn.sofifa.org/players/4/19/234033.png,71,77,3.2,9,24,6'1,Sevilla FC,Spain,La Liga,Spain,1
Borja Mayoral,https://cdn.sofifa.org/players/4/19/228635.png,75,83,10,86,21,6'0,Levante UD,Spain,La Liga,Spain,1
Borja Valero,https://cdn.sofifa.org/players/4/19/161956.png,81,81,11,74,33,5'9,Inter,Spain,Serie A,Italy,3
Bracali,https://cdn.sofifa.org/players/4/19/178571.png,73,73,NA,4,37,6'1,Boavista FC,Brazil,Liga Nos,Portugal,1
Braga,https://cdn.sofifa.org/players/4/19/8205.png,70,70,NA,5,35,5'11,CD Aves,Portugal,Liga Nos,Portugal,1
Brahim Díaz,https://cdn.sofifa.org/players/4/19/231410.png,69,86,2.2,24,18,5'7,Manchester City,Spain,Premier League,UK,1
Brais Méndez,https://cdn.sofifa.org/players/4/19/235944.png,75,84,10.5,16,21,6'2,RC Celta,Spain,La Liga,Spain,1
Bremer,https://cdn.sofifa.org/players/4/19/239580.png,71,80,3.2,16,21,6'0,Torino,Brazil,Serie A,Italy,1
Bruma,https://cdn.sofifa.org/players/4/19/211368.png,79,83,16.5,48,23,5'8,RB Leipzig,Portugal,Bundesliga,Germany,2
Bruno,https://cdn.sofifa.org/players/4/19/184120.png,80,80,7,39,34,6'0,Villarreal CF,Spain,La Liga,Spain,3
Bruno Alves,https://cdn.sofifa.org/players/4/19/138110.png,71,71,NA,16,36,6'2,Parma,Portugal,Serie A,Italy,2
Bruno Brígido,https://cdn.sofifa.org/players/4/19/213952.png,69,72,NA,5,27,6'2,CD Feirense,Brazil,Liga Nos,Portugal,1
Bruno César,https://cdn.sofifa.org/players/4/19/192202.png,74,74,5.5,12,29,5'10,Sporting CP,Brazil,Liga Nos,Portugal,1
Bruno Costa,https://cdn.sofifa.org/players/4/19/244960.png,67,76,1.2,3,21,5'9,FC Porto,Portugal,Liga Nos,Portugal,1
Bruno Fernandes,https://cdn.sofifa.org/players/4/19/212198.png,84,88,40.5,22,23,5'10,Sporting CP,Portugal,Liga Nos,Portugal,2
Bruno Gallo,https://cdn.sofifa.org/players/4/19/189425.png,70,70,1.6,6,30,5'11,GD Chaves,Brazil,Liga Nos,Portugal,1
Bruno Gaspar,https://cdn.sofifa.org/players/4/19/225402.png,74,78,6,10,25,5'11,Sporting CP,Portugal,Liga Nos,Portugal,1
Bruno Gomes,https://cdn.sofifa.org/players/4/19/235377.png,65,75,NA,3,21,6'0,CD Aves,Brazil,Liga Nos,Portugal,1
Bruno Jordão,https://cdn.sofifa.org/players/4/19/240175.png,60,76,NA,1,19,5'11,Lazio,Portugal,Serie A,Italy,1
Bruno Lamas,https://cdn.sofifa.org/players/4/19/245261.png,72,77,4.2,4,24,5'9,Santa Clara,Brazil,Liga Nos,Portugal,1
Bruno Monteiro,https://cdn.sofifa.org/players/4/19/193864.png,68,68,NA,3,33,5'10,CD Tondela,Portugal,Liga Nos,Portugal,1
Bruno Moreira,https://cdn.sofifa.org/players/4/19/210031.png,70,70,1.7,6,30,6'1,Rio Ave FC,Portugal,Liga Nos,Portugal,1
Bruno Nascimento,https://cdn.sofifa.org/players/4/19/209444.png,70,72,1.7,7,27,6'2,CD Feirense,Brazil,Liga Nos,Portugal,1
Bruno Saltor,https://cdn.sofifa.org/players/4/19/145047.png,74,74,NA,25,37,5'11,Brighton & Hove Albion,Spain,Premier League,UK,1
Bruno Silva,https://cdn.sofifa.org/players/4/19/239920.png,64,67,NA,1,25,5'11,Moreirense FC,Brazil,Liga Nos,Portugal,1
Bruno Tabata,https://cdn.sofifa.org/players/4/19/238858.png,72,81,4.8,6,21,5'9,Portimonense SC,Brazil,Liga Nos,Portugal,1
Bruno Varela,https://cdn.sofifa.org/players/4/19/219754.png,74,79,5.5,7,23,6'3,SL Benfica,Portugal,Liga Nos,Portugal,1
Bruno Viana,https://cdn.sofifa.org/players/4/19/234226.png,77,83,10.5,12,23,6'2,SC Braga,Brazil,Liga Nos,Portugal,1
Bruno Xadas,https://cdn.sofifa.org/players/4/19/237670.png,73,84,7,9,20,5'10,SC Braga,Portugal,Liga Nos,Portugal,1
Bruno1,https://cdn.sofifa.org/players/4/19/200228.png,77,78,8,23,28,6'1,Getafe CF,Spain,La Liga,Spain,1
Buatu,https://cdn.sofifa.org/players/4/19/209816.png,67,72,NA,3,24,6'2,Rio Ave FC,Angola,Liga Nos,Portugal,1
Bura,https://cdn.sofifa.org/players/4/19/244184.png,64,70,NA,2,22,6'0,CD Aves,Guinea Bissau,Liga Nos,Portugal,1
Burgui,https://cdn.sofifa.org/players/4/19/215644.png,75,78,8.5,19,24,6'0,Deportivo Alavés,Spain,La Liga,Spain,1
Bustinza,https://cdn.sofifa.org/players/4/19/224869.png,75,78,7,24,26,5'9,CD Leganés,Spain,La Liga,Spain,1
C. Adjapong,https://cdn.sofifa.org/players/4/19/233411.png,71,81,3.8,21,20,5'11,Sassuolo,Italy,Serie A,Italy,1
C. Akolo,https://cdn.sofifa.org/players/4/19/222825.png,73,81,6,25,23,5'8,VfB Stuttgart,DR Congo,Bundesliga,Germany,1
C. Alhadhur,https://cdn.sofifa.org/players/4/19/203885.png,68,69,NA,8,26,5'8,Stade Malherbe Caen,Comoros,Ligue 1,France,1
C. Alkılıç,https://cdn.sofifa.org/players/4/19/223320.png,65,65,NA,4,30,5'10,Alanyaspor,Turkey,Süper Lig,Turkey,1
C. Ansaldi,https://cdn.sofifa.org/players/4/19/173306.png,78,78,7,54,31,5'11,Torino,Argentina,Serie A,Italy,2
C. Arango,https://cdn.sofifa.org/players/4/19/217998.png,69,77,1.6,5,23,5'11,CD Tondela,Colombia,Liga Nos,Portugal,1
C. Aránguiz,https://cdn.sofifa.org/players/4/19/199042.png,81,81,17,76,29,5'7,Bayer 04 Leverkusen,Chile,Bundesliga,Germany,2
C. Atsu,https://cdn.sofifa.org/players/4/19/205601.png,74,75,6.5,39,26,5'5,Newcastle United,Ghana,Premier League,UK,1
C. Austin,https://cdn.sofifa.org/players/4/19/195671.png,77,77,9,53,28,6'2,Southampton,England,Premier League,UK,1
C. Awaziem,https://cdn.sofifa.org/players/4/19/232693.png,74,81,7,8,21,6'2,FC Porto,Nigeria,Liga Nos,Portugal,1
C. Bacca,https://cdn.sofifa.org/players/4/19/207664.png,81,81,16,45,31,5'11,Villarreal CF,Colombia,La Liga,Spain,3
C. Baumgartner,https://cdn.sofifa.org/players/4/19/242187.png,60,78,NA,2,18,5'10,TSG 1899 Hoffenheim,Austria,Bundesliga,Germany,1
C. Beauvue,https://cdn.sofifa.org/players/4/19/183068.png,75,75,6.5,23,30,5'9,Stade Malherbe Caen,France,Ligue 1,France,1
C. Benteke,https://cdn.sofifa.org/players/4/19/184111.png,76,76,8,53,27,6'3,Crystal Palace,Belgium,Premier League,UK,3
C. Biraghi,https://cdn.sofifa.org/players/4/19/201389.png,76,78,7.5,42,25,6'1,Fiorentina,Italy,Serie A,Italy,1
C. Borges,https://cdn.sofifa.org/players/4/19/190799.png,77,77,6.5,24,30,6'0,Göztepe SK,Costa Rica,Süper Lig,Turkey,2
C. Bramall,https://cdn.sofifa.org/players/4/19/237169.png,63,70,NA,12,22,5'10,Arsenal,England,Premier League,UK,1
C. Bravo,https://cdn.sofifa.org/players/4/19/174543.png,78,78,2.4,50,35,6'0,Manchester City,Chile,Premier League,UK,3
C. Brown,https://cdn.sofifa.org/players/4/19/242541.png,52,64,NA,4,20,6'1,Cardiff City,England,Premier League,UK,1
C. Cathcart,https://cdn.sofifa.org/players/4/19/180706.png,75,75,5,44,29,6'3,Watford,Northern Ireland,Premier League,UK,1
C. Çavlan,https://cdn.sofifa.org/players/4/19/205926.png,67,69,NA,3,26,5'9,FC Emmen,Netherlands,Eredivisie,Netherlands,NA
C. Chambers,https://cdn.sofifa.org/players/4/19/205989.png,74,80,6.5,56,23,6'0,Fulham,England,Premier League,UK,1
C. Christie,https://cdn.sofifa.org/players/4/19/200778.png,72,75,3.2,32,25,6'2,Fulham,Republic of Ireland,Premier League,UK,1
C. Ciano,https://cdn.sofifa.org/players/4/19/201313.png,75,75,6.5,17,28,5'9,Frosinone,Italy,Serie A,Italy,1
C. Clark,https://cdn.sofifa.org/players/4/19/183129.png,76,77,7,42,28,6'1,Newcastle United,Republic of Ireland,Premier League,UK,2
C. Coady,https://cdn.sofifa.org/players/4/19/202048.png,74,77,6,46,25,6'1,Wolverhampton Wanderers,England,Premier League,UK,1
C. Coventry,https://cdn.sofifa.org/players/4/19/240863.png,57,73,NA,4,18,5'9,West Ham United,Republic of Ireland,Premier League,UK,1
C. Coxe,https://cdn.sofifa.org/players/4/19/239893.png,53,69,NA,2,19,5'11,Cardiff City,Wales,Premier League,UK,1
C. Dagba,https://cdn.sofifa.org/players/4/19/241497.png,64,79,NA,5,19,5'7,Paris Saint-Germain,France,Ligue 1,France,1
C. Daniels,https://cdn.sofifa.org/players/4/19/169638.png,75,75,4.4,49,31,5'10,Bournemouth,England,Premier League,UK,1
C. Dell'Orco,https://cdn.sofifa.org/players/4/19/231022.png,67,73,NA,12,24,6'0,Sassuolo,Italy,Serie A,Italy,1
C. Depres,https://cdn.sofifa.org/players/4/19/226127.png,66,70,NA,5,23,6'3,Nîmes Olympique,France,Ligue 1,France,1
C. Dessers,https://cdn.sofifa.org/players/4/19/222262.png,70,75,2.4,10,23,6'1,FC Utrecht,Belgium,Eredivisie,Netherlands,1
C. Doukouré,https://cdn.sofifa.org/players/4/19/195698.png,73,78,4.5,16,25,5'11,Levante UD,Ivory Coast,La Liga,Spain,1
C. Eiting,https://cdn.sofifa.org/players/4/19/234203.png,70,79,2.7,7,20,5'10,Ajax,Netherlands,Eredivisie,Netherlands,1
C. Ekuban,https://cdn.sofifa.org/players/4/19/239795.png,65,71,NA,10,24,5'11,Trabzonspor,Italy,Süper Lig,Turkey,1
C. Elder,https://cdn.sofifa.org/players/4/19/215412.png,65,72,NA,11,23,5'11,Leicester City,Australia,Premier League,UK,1
C. Eriksen,https://cdn.sofifa.org/players/4/19/190460.png,88,91,73.5,205,26,5'11,Tottenham Hotspur,Denmark,Premier League,UK,3
C. Erkin,https://cdn.sofifa.org/players/4/19/171875.png,76,76,6,41,29,5'11,Beşiktaş JK,Turkey,Süper Lig,Turkey,NA
C. Essers,https://cdn.sofifa.org/players/4/19/243395.png,62,67,NA,1,21,5'11,Fortuna Sittard,Netherlands,Eredivisie,Netherlands,1
C. Fermina,https://cdn.sofifa.org/players/4/19/245363.png,57,74,NA,1,18,6'0,Excelsior,Netherlands,Eredivisie,Netherlands,1
C. Frommann,https://cdn.sofifa.org/players/4/19/244066.png,60,75,NA,2,20,6'1,SC Freiburg,Germany,Bundesliga,Germany,1
C. Früchtl,https://cdn.sofifa.org/players/4/19/235266.png,65,86,1,3,18,6'4,FC Bayern München,Germany,Bundesliga,Germany,1
C. Fuchs,https://cdn.sofifa.org/players/4/19/139313.png,75,75,3.7,50,32,6'2,Leicester City,Austria,Premier League,UK,2
C. Gakpo,https://cdn.sofifa.org/players/4/19/242516.png,63,78,NA,2,19,6'2,PSV,Netherlands,Eredivisie,Netherlands,1
C. Ganea,https://cdn.sofifa.org/players/4/19/239116.png,70,73,1.8,11,26,5'9,Athletic Club de Bilbao,Romania,La Liga,Spain,1
C. Gentner,https://cdn.sofifa.org/players/4/19/158856.png,77,77,6.5,34,32,6'2,VfB Stuttgart,Germany,Bundesliga,Germany,2
C. Gomes,https://cdn.sofifa.org/players/4/19/245035.png,66,84,1.1,10,17,5'11,Manchester City,France,Premier League,UK,1
C. Grenier,https://cdn.sofifa.org/players/4/19/187924.png,77,78,10,32,27,6'1,Stade Rennais FC,France,Ligue 1,France,2
C. Gribbin,https://cdn.sofifa.org/players/4/19/237698.png,65,80,1.2,11,19,6'0,Manchester United,England,Premier League,UK,1
C. Gülselam,https://cdn.sofifa.org/players/4/19/180409.png,71,71,1.8,9,30,6'4,Alanyaspor,Turkey,Süper Lig,Turkey,1
C. Günter,https://cdn.sofifa.org/players/4/19/209846.png,75,76,6.5,20,25,6'0,SC Freiburg,Germany,Bundesliga,Germany,2
C. Hérelle,https://cdn.sofifa.org/players/4/19/208449.png,76,80,8.5,26,25,6'2,OGC Nice,France,Ligue 1,France,1
C. Hudson-Odoi,https://cdn.sofifa.org/players/4/19/240740.png,70,87,3.5,25,17,5'10,Chelsea,England,Premier League,UK,1
C. Humphreys-Grant,https://cdn.sofifa.org/players/4/19/223963.png,62,77,NA,6,19,6'2,Manchester City,England,Premier League,UK,1
C. Immobile,https://cdn.sofifa.org/players/4/19/192387.png,87,87,52,115,28,6'1,Lazio,Italy,Serie A,Italy,3
C. Jallet,https://cdn.sofifa.org/players/4/19/150590.png,75,75,1.9,26,34,5'10,OGC Nice,France,Ligue 1,France,2
C. Janker,https://cdn.sofifa.org/players/4/19/156443.png,70,70,NA,12,33,6'1,FC Augsburg,Germany,Bundesliga,Germany,1
C. Jean,https://cdn.sofifa.org/players/4/19/211239.png,72,77,4.2,17,22,5'7,Toulouse Football Club,France,Ligue 1,France,1
C. Jenkinson,https://cdn.sofifa.org/players/4/19/200841.png,69,71,1,34,26,6'1,Arsenal,England,Premier League,UK,2
C. Jerome,https://cdn.sofifa.org/players/4/19/165191.png,71,71,2.1,17,31,6'1,Göztepe SK,England,Süper Lig,Turkey,2
C. John,https://cdn.sofifa.org/players/4/19/236009.png,54,72,NA,3,18,5'11,Wolverhampton Wanderers,England,Premier League,UK,1
C. Jones,https://cdn.sofifa.org/players/4/19/242434.png,61,82,NA,7,17,6'0,Liverpool,England,Premier League,UK,1
C. Jordan,https://cdn.sofifa.org/players/4/19/234252.png,59,73,NA,3,19,6'1,Bournemouth,England,Premier League,UK,1
C. Jullien,https://cdn.sofifa.org/players/4/19/208615.png,72,76,3.4,17,25,6'5,Toulouse Football Club,France,Ligue 1,France,2
C. Kerbrat,https://cdn.sofifa.org/players/4/19/204338.png,76,76,5,21,31,6'1,En Avant de Guingamp,France,Ligue 1,France,1
C. Klarer,https://cdn.sofifa.org/players/4/19/242386.png,61,77,NA,3,18,6'3,Southampton,Austria,Premier League,UK,1
C. Kouamé,https://cdn.sofifa.org/players/4/19/235866.png,71,85,5,9,20,6'1,Genoa,Ivory Coast,Serie A,Italy,1
C. Kouyaté,https://cdn.sofifa.org/players/4/19/186801.png,76,76,6,46,28,6'2,Crystal Palace,Senegal,Premier League,UK,2
C. Kramer,https://cdn.sofifa.org/players/4/19/204024.png,81,82,17,35,27,6'3,Borussia Mönchengladbach,Germany,Bundesliga,Germany,2
C. Kum,https://cdn.sofifa.org/players/4/19/178187.png,66,66,NA,3,32,6'0,VVV-Venlo,Germany,Eredivisie,Netherlands,1
C. Larin,https://cdn.sofifa.org/players/4/19/226777.png,75,82,9.5,39,23,6'2,Beşiktaş JK,Canada,Süper Lig,Turkey,NA
C. Leemans,https://cdn.sofifa.org/players/4/19/224185.png,70,75,2.3,6,22,6'2,PEC Zwolle,Netherlands,Eredivisie,Netherlands,1
C. Lema,https://cdn.sofifa.org/players/4/19/215228.png,74,74,4.6,10,28,6'3,SL Benfica,Argentina,Liga Nos,Portugal,1
C. Lenglet,https://cdn.sofifa.org/players/4/19/220440.png,82,88,26,135,23,6'1,FC Barcelona,France,La Liga,Spain,1
C. Lombardi,https://cdn.sofifa.org/players/4/19/215810.png,69,74,1.4,19,22,5'11,Lazio,Italy,Serie A,Italy,1
C. Löwe,https://cdn.sofifa.org/players/4/19/203544.png,73,73,3,34,29,5'9,Huddersfield Town,Germany,Premier League,UK,1
C. Lykogiannis,https://cdn.sofifa.org/players/4/19/210381.png,66,71,NA,7,24,6'1,Cagliari,Greece,Serie A,Italy,1
C. Madu,https://cdn.sofifa.org/players/4/19/245686.png,66,69,NA,3,24,6'1,CD Nacional,Nigeria,Liga Nos,Portugal,1
C. Mamengi,https://cdn.sofifa.org/players/4/19/246078.png,62,79,NA,1,17,NA,FC Utrecht,Netherlands,Eredivisie,Netherlands,NA
C. Mathenia,https://cdn.sofifa.org/players/4/19/215417.png,73,76,3.5,15,26,6'2,1. FC Nürnberg,Germany,Bundesliga,Germany,2
C. Mbemba,https://cdn.sofifa.org/players/4/19/210897.png,75,80,7.5,10,23,6'0,FC Porto,DR Congo,Liga Nos,Portugal,1
C. Medjani,https://cdn.sofifa.org/players/4/19/139836.png,72,72,1.3,10,33,6'0,Sivasspor,Algeria,Süper Lig,Turkey,1
C. Molinaro,https://cdn.sofifa.org/players/4/19/149064.png,72,72,NA,11,34,6'0,Frosinone,Italy,Serie A,Italy,2
C. Musonda,https://cdn.sofifa.org/players/4/19/204233.png,75,85,11,64,21,5'8,Vitesse,Belgium,Eredivisie,Netherlands,1
C. N'Doye,https://cdn.sofifa.org/players/4/19/219470.png,69,69,NA,13,32,6'4,Angers SCO,Senegal,Ligue 1,France,1
C. Ninga,https://cdn.sofifa.org/players/4/19/231041.png,73,78,5.5,20,25,6'1,Stade Malherbe Caen,Chad,Ligue 1,France,1
C. Njie,https://cdn.sofifa.org/players/4/19/212273.png,74,77,7.5,34,24,5'9,Olympique de Marseille,Cameroon,Ligue 1,France,1
C. Nkunku,https://cdn.sofifa.org/players/4/19/232411.png,76,84,11.5,46,20,5'10,Paris Saint-Germain,France,Ligue 1,France,1
C. Nørgaard,https://cdn.sofifa.org/players/4/19/210697.png,72,79,3.7,27,24,6'2,Fiorentina,Denmark,Serie A,Italy,1
C. Okoroji,https://cdn.sofifa.org/players/4/19/245428.png,58,67,NA,2,21,5'10,SC Freiburg,England,Bundesliga,Germany,1
C. Osmanpaşa,https://cdn.sofifa.org/players/4/19/223122.png,68,68,NA,7,30,6'0,Akhisar Belediyespor,Turkey,Süper Lig,Turkey,NA
C. Paterson,https://cdn.sofifa.org/players/4/19/210724.png,71,77,3.2,24,23,6'2,Cardiff City,Scotland,Premier League,UK,1
C. Piccini,https://cdn.sofifa.org/players/4/19/201939.png,77,80,9,29,25,6'2,Valencia CF,Italy,La Liga,Spain,1
C. Pinsoglio,https://cdn.sofifa.org/players/4/19/189342.png,72,72,2.2,44,28,6'4,Juventus,Italy,Serie A,Italy,1
C. Pizarro,https://cdn.sofifa.org/players/4/19/25420.png,74,74,1.6,18,39,6'0,SV Werder Bremen,Peru,Bundesliga,Germany,3
C. Pulisic,https://cdn.sofifa.org/players/4/19/227796.png,79,87,18,26,19,5'10,Borussia Dortmund,United States,Bundesliga,Germany,3
C. Quaner,https://cdn.sofifa.org/players/4/19/199741.png,68,68,NA,17,27,6'3,Huddersfield Town,Germany,Premier League,UK,1
C. Roberts,https://cdn.sofifa.org/players/4/19/226822.png,61,73,NA,5,21,5'8,Newcastle United,England,Premier League,UK,1
C. Rocchia,https://cdn.sofifa.org/players/4/19/241704.png,62,76,NA,4,20,5'8,Olympique de Marseille,France,Ligue 1,France,1
C. Romero,https://cdn.sofifa.org/players/4/19/232488.png,64,78,NA,2,20,6'1,Genoa,Argentina,Serie A,Italy,1
C. Salcedo,https://cdn.sofifa.org/players/4/19/212888.png,76,80,8.5,25,24,6'1,Eintracht Frankfurt,Mexico,Bundesliga,Germany,1
C. Sánchez,https://cdn.sofifa.org/players/4/19/182882.png,77,77,5,65,32,6'0,West Ham United,Colombia,Premier League,UK,2
C. Săpunaru,https://cdn.sofifa.org/players/4/19/156221.png,71,71,NA,9,34,6'2,Kayserispor,Romania,Süper Lig,Turkey,NA
C. Schindler,https://cdn.sofifa.org/players/4/19/200607.png,78,80,10,48,28,6'2,Huddersfield Town,Germany,Premier League,UK,1
C. Slattery,https://cdn.sofifa.org/players/4/19/229163.png,60,77,NA,3,19,6'3,Southampton,England,Premier League,UK,1
C. Smalling,https://cdn.sofifa.org/players/4/19/189881.png,81,82,16,130,28,6'4,Manchester United,England,Premier League,UK,3
C. Söyüncü,https://cdn.sofifa.org/players/4/19/232119.png,75,83,8.5,43,22,6'1,Leicester City,Turkey,Premier League,UK,1
C. Stanko,https://cdn.sofifa.org/players/4/19/216501.png,64,68,NA,4,24,5'11,SC Freiburg,United States,Bundesliga,Germany,1
C. Stengs,https://cdn.sofifa.org/players/4/19/236593.png,69,84,2.3,4,19,6'2,AZ Alkmaar,Netherlands,Eredivisie,Netherlands,1
C. Stuani,https://cdn.sofifa.org/players/4/19/186537.png,80,80,13.5,41,31,6'1,Girona FC,Uruguay,La Liga,Spain,1
C. Tătăruşanu,https://cdn.sofifa.org/players/4/19/201325.png,79,79,7,23,32,6'5,FC Nantes,Romania,Ligue 1,France,NA
C. Taylor,https://cdn.sofifa.org/players/4/19/204760.png,74,78,6,33,24,6'1,Burnley,England,Premier League,UK,1
C. Teuchert,https://cdn.sofifa.org/players/4/19/226050.png,68,81,1.7,9,21,6'0,FC Schalke 04,Germany,Bundesliga,Germany,1
C. Théréau,https://cdn.sofifa.org/players/4/19/164985.png,76,76,3.4,40,35,6'2,Fiorentina,France,Serie A,Italy,2
C. Thompson,https://cdn.sofifa.org/players/4/19/243667.png,57,73,NA,4,18,5'7,Fulham,England,Premier League,UK,1
C. Timite,https://cdn.sofifa.org/players/4/19/233121.png,64,77,NA,3,20,5'10,Amiens SC,Ivory Coast,Ligue 1,France,1
C. Tolisso,https://cdn.sofifa.org/players/4/19/219683.png,83,88,34,85,23,5'11,FC Bayern München,France,Bundesliga,Germany,2
C. Tosun,https://cdn.sofifa.org/players/4/19/192991.png,79,80,14.5,105,27,6'0,Everton,Turkey,Premier League,UK,2
C. Traoré,https://cdn.sofifa.org/players/4/19/240257.png,70,78,2.2,10,23,5'9,En Avant de Guingamp,France,Ligue 1,France,1
C. Traoré1,https://cdn.sofifa.org/players/4/19/231098.png,67,68,NA,8,26,5'11,FC Nantes,Mali,Ligue 1,France,1
C. Ünder,https://cdn.sofifa.org/players/4/19/235889.png,77,87,14.5,46,20,5'8,Roma,Turkey,Serie A,Italy,NA
C. Verdonk,https://cdn.sofifa.org/players/4/19/227794.png,67,74,NA,3,21,5'9,Feyenoord,Netherlands,Eredivisie,Netherlands,1
C. Vidal,https://cdn.sofifa.org/players/4/19/244476.png,61,77,NA,2,18,6'1,Montpellier HSC,France,Ligue 1,France,1
C. Wickham,https://cdn.sofifa.org/players/4/19/191089.png,71,75,3.1,32,25,6'3,Crystal Palace,England,Premier League,UK,1
C. Wilson,https://cdn.sofifa.org/players/4/19/196978.png,79,81,15.5,77,26,5'11,Bournemouth,England,Premier League,UK,1
C. Wood,https://cdn.sofifa.org/players/4/19/192123.png,77,78,10.5,56,26,6'2,Burnley,New Zealand,Premier League,UK,1
C. Yambéré,https://cdn.sofifa.org/players/4/19/225934.png,70,72,1.7,8,27,6'3,Dijon FCO,Central African Rep.,Ligue 1,France,1
C. Yüksel,https://cdn.sofifa.org/players/4/19/243271.png,61,75,NA,6,20,5'9,Galatasaray SK,Turkey,Süper Lig,Turkey,1
Caio Secco,https://cdn.sofifa.org/players/4/19/203239.png,73,75,3.2,8,27,6'4,CD Feirense,Brazil,Liga Nos,Portugal,1
Caiuby,https://cdn.sofifa.org/players/4/19/189196.png,77,77,8.5,27,29,6'0,FC Augsburg,Brazil,Bundesliga,Germany,2
Calero,https://cdn.sofifa.org/players/4/19/240289.png,73,82,5.5,13,22,6'0,Real Valladolid CF,Spain,La Liga,Spain,1
Camacho,https://cdn.sofifa.org/players/4/19/188005.png,80,81,13.5,51,28,6'0,VfL Wolfsburg,Spain,Bundesliga,Germany,2
Camacho1,https://cdn.sofifa.org/players/4/19/213705.png,72,78,4.3,9,24,5'7,CD Nacional,Portugal,Liga Nos,Portugal,1
Camacho12,https://cdn.sofifa.org/players/4/19/52842.png,67,67,NA,6,37,5'11,SD Huesca,Spain,La Liga,Spain,1
Camarasa,https://cdn.sofifa.org/players/4/19/219571.png,76,83,10.5,20,24,6'0,Cardiff City,Spain,Premier League,UK,1
Campaña,https://cdn.sofifa.org/players/4/19/199823.png,79,82,15.5,28,25,5'10,Levante UD,Spain,La Liga,Spain,1
Canales,https://cdn.sofifa.org/players/4/19/190286.png,80,80,15.5,30,27,5'11,Real Betis,Spain,La Liga,Spain,2
Capa,https://cdn.sofifa.org/players/4/19/216189.png,78,81,10.5,23,26,5'9,Athletic Club de Bilbao,Spain,La Liga,Spain,1
Carles Planas,https://cdn.sofifa.org/players/4/19/200517.png,76,77,7,26,27,5'8,Girona FC,Spain,La Liga,Spain,1
Carlos Blanco,https://cdn.sofifa.org/players/4/19/224566.png,66,74,NA,7,22,6'2,Villarreal CF,Spain,La Liga,Spain,1
Carlos Doncel,https://cdn.sofifa.org/players/4/19/246306.png,63,71,NA,4,21,5'7,RCD Espanyol,Spain,La Liga,Spain,1
Carlos Isaac,https://cdn.sofifa.org/players/4/19/243080.png,63,76,NA,5,20,6'0,Atlético Madrid,Spain,La Liga,Spain,1
Carlos Mané,https://cdn.sofifa.org/players/4/19/216749.png,75,81,9,11,24,5'8,Sporting CP,Portugal,Liga Nos,Portugal,1
Carlos Ponck,https://cdn.sofifa.org/players/4/19/232459.png,73,78,4.5,8,23,6'0,CD Aves,Cape Verde,Liga Nos,Portugal,1
Carlos Soler,https://cdn.sofifa.org/players/4/19/234153.png,80,87,21,31,21,5'11,Valencia CF,Spain,La Liga,Spain,1
Carraça,https://cdn.sofifa.org/players/4/19/223297.png,71,75,2.5,5,25,5'10,Boavista FC,Portugal,Liga Nos,Portugal,1
Carvajal,https://cdn.sofifa.org/players/4/19/204963.png,84,87,31.5,185,26,5'8,Real Madrid,Spain,La Liga,Spain,3
Casemiro,https://cdn.sofifa.org/players/4/19/200145.png,88,90,59.5,285,26,6'1,Real Madrid,Brazil,La Liga,Spain,3
Casillas,https://cdn.sofifa.org/players/4/19/5479.png,82,82,1.5,10,37,6'1,FC Porto,Spain,Liga Nos,Portugal,4
Castro,https://cdn.sofifa.org/players/4/19/184133.png,74,74,5.5,22,30,5'11,Göztepe SK,Portugal,Süper Lig,Turkey,1
Cédric,https://cdn.sofifa.org/players/4/19/201118.png,77,78,8.5,43,26,5'8,Southampton,Portugal,Premier League,UK,2
César,https://cdn.sofifa.org/players/4/19/215283.png,69,72,1.1,3,25,6'4,Santa Clara,Brazil,Liga Nos,Portugal,1
Cesc Fàbregas,https://cdn.sofifa.org/players/4/19/162895.png,83,83,22,140,31,5'10,Chelsea,Spain,Premier League,UK,NA
Charles,https://cdn.sofifa.org/players/4/19/164029.png,79,79,6.5,31,34,5'10,SD Eibar,Brazil,La Liga,Spain,1
Charles1,https://cdn.sofifa.org/players/4/19/184944.png,68,68,NA,7,33,5'9,Antalyaspor,Brazil,Süper Lig,Turkey,1
Charles12,https://cdn.sofifa.org/players/4/19/229255.png,71,77,2.4,4,24,6'1,Clube Sport Marítimo,Brazil,Liga Nos,Portugal,1
Chema Rodríguez,https://cdn.sofifa.org/players/4/19/219777.png,75,78,7,20,26,6'2,Levante UD,Spain,La Liga,Spain,1
Chiquinho,https://cdn.sofifa.org/players/4/19/243686.png,72,78,4.3,5,22,5'9,Moreirense FC,Portugal,Liga Nos,Portugal,1
Christian Rivera,https://cdn.sofifa.org/players/4/19/229038.png,70,79,2.4,4,20,6'3,SD Huesca,Spain,La Liga,Spain,1
Chumi,https://cdn.sofifa.org/players/4/19/241810.png,65,82,1,11,19,6'1,FC Barcelona,Spain,La Liga,Spain,1
