Name,Photo,Age,Overall,Potential,Marking,StandingTackle,SlidingTackle,HeadingAccuracy,Dribbling,Curve,BallControl,Aggression,Interceptions,Positioning,Vision,Composure,Crossing,ShortPassing,LongPassing,Acceleration,SprintSpeed,Agility,Reactions,Balance,Jumping,Stamina,Strength,Finishing,Volleys,FKAccuracy,ShotPower,LongShots,Penalties,InternationalReputation,Defending,General,Mental,Passing,Mobility,Power,Rating,Shooting
F. Tait,https://cdn.sofifa.org/players/4/19/213388.png,25,75,78,30,36,33,42,79,70,76,56,27,73,76,74,75,77,72,77,72,74,74,79,52,72,51,68,63,66,70,72,53,1,33,66.75,61.2,74.66666666666667,74.25,63.5,76.5,65.33333333333333
D. Zagadou,https://cdn.sofifa.org/players/4/19/238476.png,19,75,85,71,81,75,77,49,37,54,75,70,31,42,68,46,71,55,52,69,47,70,34,64,61,87,26,25,25,56,24,30,1,75.66666666666667,54.25,57.2,57.333333333333336,59.5,61.5,80,31
M. Diamé,https://cdn.sofifa.org/players/4/19/188556.png,31,75,75,68,82,73,71,76,69,74,82,79,69,67,73,62,77,69,67,68,70,75,69,69,79,79,64,70,29,85,73,63,2,74.33333333333333,72.5,74,69.33333333333333,70,74,75,64
A. Younes,https://cdn.sofifa.org/players/4/19/205966.png,24,75,76,30,43,25,44,88,78,84,55,42,74,76,69,56,77,57,84,75,84,77,92,37,79,50,58,62,59,55,56,58,2,32.666666666666664,73.5,63.2,63.333333333333336,80,64.5,75.5,58
B. Verstraete,https://cdn.sofifa.org/players/4/19/210831.png,24,75,80,72,73,73,67,64,59,70,88,78,54,68,69,69,72,75,79,67,81,69,75,87,87,71,48,44,68,73,59,76,1,72.66666666666667,65,71.4,72,74,80,77.5,61.333333333333336
K. Akpoguma,https://cdn.sofifa.org/players/4/19/211856.png,23,75,81,77,78,76,70,59,31,63,69,74,45,38,60,60,65,60,69,78,54,73,51,55,67,78,45,35,27,70,38,48,1,77,55.75,57.2,61.666666666666664,68.5,62.75,78,43.833333333333336
B. Santamaria,https://cdn.sofifa.org/players/4/19/219792.png,23,75,80,74,74,75,60,76,48,78,66,69,63,74,65,64,78,78,63,65,73,68,69,69,75,63,65,42,49,62,62,46,1,74.33333333333333,65.5,67.4,73.33333333333333,67.25,69,77.5,54.333333333333336
E. Moretti,https://cdn.sofifa.org/players/4/19/46736.png,37,75,75,80,77,76,75,49,52,64,74,84,31,31,73,51,59,56,48,34,48,64,65,73,39,68,16,27,33,56,39,49,2,77.66666666666667,60,58.6,55.333333333333336,48.5,61.25,75,36.666666666666664
H. Behrens,https://cdn.sofifa.org/players/4/19/193425.png,28,75,75,73,76,73,81,69,52,73,77,79,72,69,71,54,74,68,67,69,66,76,62,84,92,79,68,62,40,78,76,58,1,74,68.75,73.6,65.33333333333333,69.5,79.25,75,63.666666666666664
M. Maignan,https://cdn.sofifa.org/players/4/19/215698.png,22,75,83,14,12,19,17,22,14,24,17,24,14,50,55,18,36,27,44,43,39,72,55,72,28,76,13,16,16,19,20,15,1,15,19.25,32,27,49.5,57.75,79,16.5
Y. Karamoh,https://cdn.sofifa.org/players/4/19/231826.png,19,75,85,23,31,26,65,80,67,79,50,29,72,70,65,67,70,63,84,79,73,70,65,68,72,61,68,66,44,69,70,65,1,26.666666666666668,72.75,57.2,66.66666666666667,76.5,66.5,80,63.666666666666664
V. Ignatiev,https://cdn.sofifa.org/players/4/19/192146.png,31,75,75,72,75,72,67,73,71,75,65,76,72,73,65,74,74,71,82,80,70,71,68,63,74,65,65,63,65,61,59,70,1,73,71.5,70.2,73,75.75,67.5,75,63.833333333333336
A. Thomasson,https://cdn.sofifa.org/players/4/19/208787.png,24,75,77,57,66,55,63,74,71,77,62,65,71,76,76,70,78,73,68,74,76,71,83,70,67,54,67,64,54,76,74,57,1,59.333333333333336,71.25,70,73.66666666666667,72.25,68.5,76,65.33333333333333
D. Amartey,https://cdn.sofifa.org/players/4/19/212883.png,23,75,79,74,79,73,70,70,44,70,82,74,47,58,69,62,77,68,70,74,65,70,66,84,86,82,46,68,32,75,69,51,1,75.33333333333333,63.5,66,69,69.75,79.5,77,56.833333333333336
R. Özcan,https://cdn.sofifa.org/players/4/19/152211.png,34,75,75,12,14,13,14,13,14,14,32,22,10,32,53,12,34,26,52,51,48,73,36,71,36,72,14,13,19,23,17,16,1,13,13.75,29.8,24,56,53.75,75,17
A. Donnarumma,https://cdn.sofifa.org/players/4/19/203668.png,27,75,75,22,36,37,75,75,67,72,40,21,76,55,71,54,65,55,82,86,77,64,66,60,78,64,76,69,60,75,71,75,1,31.666666666666668,72.25,52.6,58,77.25,67,75,71
Timor,https://cdn.sofifa.org/players/4/19/199829.png,28,75,75,65,74,68,59,64,77,72,77,75,59,75,69,62,80,77,53,54,53,69,62,78,75,76,44,53,81,79,78,69,1,69,68,71,73,57.25,72.75,75,67.33333333333333
C. McGregor,https://cdn.sofifa.org/players/4/19/211093.png,25,75,78,67,69,64,44,75,73,77,73,70,70,70,78,66,79,65,82,78,86,72,84,48,90,67,70,49,62,67,72,56,1,66.66666666666667,67.25,72.2,70,79.5,72.25,76.5,62.666666666666664
R. Martínez,https://cdn.sofifa.org/players/4/19/219797.png,24,75,81,40,25,23,67,75,63,76,59,30,74,63,67,58,68,61,78,83,76,74,66,78,65,81,74,64,27,75,65,68,1,29.333333333333332,70.25,58.6,62.333333333333336,77.75,72.5,78,62.166666666666664
V. Buyalskyi,https://cdn.sofifa.org/players/4/19/244373.png,25,75,80,65,74,69,38,75,54,73,47,75,69,75,73,64,75,69,70,72,86,76,88,54,78,34,68,52,50,66,72,49,1,69.33333333333333,60,67.8,69.33333333333333,76,63.5,77.5,59.5
H. Arter,https://cdn.sofifa.org/players/4/19/184469.png,28,75,75,64,74,67,53,69,64,75,86,70,69,73,73,62,80,77,65,58,71,72,75,68,71,69,66,63,70,76,73,68,1,68.33333333333333,65.25,74.2,73,66.5,70.75,75,69.33333333333333
A. Mawson,https://cdn.sofifa.org/players/4/19/208534.png,24,75,84,76,75,72,79,56,22,65,69,75,25,43,65,23,68,66,57,58,47,66,49,76,56,83,48,40,24,53,21,32,1,74.33333333333333,55.5,55.4,52.333333333333336,57,66,79.5,36.333333333333336
F. Guilbert,https://cdn.sofifa.org/players/4/19/227222.png,23,75,84,68,78,77,74,66,58,71,62,73,63,56,69,73,72,64,70,75,61,68,73,80,78,76,40,32,42,65,45,44,1,74.33333333333333,67.25,64.6,69.66666666666667,68.5,76.75,79.5,44.666666666666664
M. Lemos,https://cdn.sofifa.org/players/4/19/229270.png,22,75,80,74,77,73,72,68,32,75,77,77,43,51,68,50,70,73,65,61,67,66,61,79,65,74,51,30,70,69,57,41,1,74.66666666666667,61.75,63.2,64.33333333333333,64.75,69.75,77.5,53
S. Sturaro,https://cdn.sofifa.org/players/4/19/202135.png,25,75,78,76,78,77,68,76,64,77,86,75,73,69,74,68,77,75,74,74,74,69,67,67,80,78,55,74,64,78,77,68,2,77,71.25,75.4,73.33333333333333,72.75,73,76.5,69.33333333333333
A. Duncan,https://cdn.sofifa.org/players/4/19/208535.png,25,75,80,73,79,74,68,71,64,74,86,79,68,67,76,73,79,74,77,71,73,77,70,78,80,72,50,58,50,80,75,44,2,75.33333333333333,69.25,75.2,75.33333333333333,74.5,75,77.5,59.5
Marlon,https://cdn.sofifa.org/players/4/19/215703.png,22,75,82,75,73,75,71,64,57,72,76,77,36,46,66,43,72,69,63,71,60,65,59,64,66,78,40,33,46,61,36,58,1,74.33333333333333,66,60.2,61.333333333333336,64.75,66.75,78.5,45.666666666666664
M. Isla,https://cdn.sofifa.org/players/4/19/187800.png,30,75,75,72,75,75,58,75,78,73,76,73,70,68,76,78,75,72,80,75,84,74,78,66,79,68,41,58,64,65,66,68,2,74,71,72.6,75,78.25,72.75,75,60.333333333333336
Thiago Maia,https://cdn.sofifa.org/players/4/19/225945.png,21,75,82,70,78,72,63,70,53,74,75,74,61,65,75,61,77,73,69,70,60,74,64,74,75,74,46,53,52,74,65,58,1,73.33333333333333,65,70,70.33333333333333,68.25,71.75,78.5,58
Y. Aït Bennasser,https://cdn.sofifa.org/players/4/19/230042.png,21,75,83,62,68,67,58,78,59,80,62,67,68,73,72,64,78,79,73,75,76,67,68,71,70,67,56,62,56,74,67,42,1,65.66666666666667,68.75,68.4,73.66666666666667,72.75,69,79,59.5
O. Toivonen,https://cdn.sofifa.org/players/4/19/176794.png,31,75,75,31,37,39,76,74,72,76,66,45,74,76,75,72,77,76,51,50,64,74,51,55,76,78,78,74,73,78,76,71,2,35.666666666666664,74.5,67.2,75,59.75,65,75,75
J. Urretaviscaya,https://cdn.sofifa.org/players/4/19/189338.png,28,75,75,29,35,30,54,75,75,76,56,30,73,72,73,75,73,66,84,86,77,72,73,66,72,60,68,66,70,78,67,61,1,31.333333333333332,70,60.8,71.33333333333333,79.75,67.75,75,68.33333333333333
Yuri Ribeiro,https://cdn.sofifa.org/players/4/19/237211.png,21,75,81,71,71,71,67,74,67,76,65,73,70,68,73,75,73,65,78,77,79,76,78,75,77,64,46,53,50,66,46,41,1,71,71,69.8,71,77.5,73.5,78,50.333333333333336
N. Tomović,https://cdn.sofifa.org/players/4/19/194203.png,30,75,75,70,80,80,68,62,31,68,80,76,56,46,67,70,64,66,68,68,66,70,66,74,69,77,22,25,37,70,41,41,2,76.66666666666667,57.25,65,66.66666666666667,68,71.5,75,39.333333333333336
F. Roncaglia,https://cdn.sofifa.org/players/4/19/183966.png,31,75,75,70,80,78,70,59,67,69,74,79,51,59,70,68,69,81,61,67,65,72,69,80,65,72,38,25,52,80,73,35,2,76,66.25,66.6,72.66666666666667,66.25,71.5,75,50.5
R. Botta,https://cdn.sofifa.org/players/4/19/215199.png,28,75,75,33,27,26,38,78,76,75,55,33,69,79,77,73,71,68,78,78,81,68,73,52,72,67,68,65,74,75,77,64,1,28.666666666666668,66.75,62.6,70.66666666666667,76.25,66,75,70.5
R. Mandragora,https://cdn.sofifa.org/players/4/19/225439.png,21,75,85,77,75,69,65,76,66,75,67,74,62,75,69,65,77,74,54,67,73,74,74,68,76,77,59,55,57,66,65,52,1,73.66666666666667,70.5,69.4,72,67,73.75,80,59
A. Adomah,https://cdn.sofifa.org/players/4/19/186783.png,30,75,75,49,60,38,51,74,63,74,55,61,74,70,73,70,68,64,86,88,74,71,62,66,74,68,73,59,53,71,64,68,1,49,65.5,66.6,67.33333333333333,79.75,67.5,75,64.66666666666667
D. Samassékou,https://cdn.sofifa.org/players/4/19/235424.png,22,75,85,73,75,74,59,68,55,73,70,77,55,72,78,57,75,71,68,78,77,76,77,74,80,67,42,37,34,60,54,56,1,74,63.75,70.4,67.66666666666667,74.75,74.5,80,47.166666666666664
M. Yoshida,https://cdn.sofifa.org/players/4/19/191648.png,29,75,75,73,79,76,74,60,38,66,66,73,42,50,70,36,63,52,58,61,65,73,57,86,66,76,34,56,33,50,41,54,1,76,59.5,60.2,50.333333333333336,64.25,71.25,75,44.666666666666664
N. Viergever,https://cdn.sofifa.org/players/4/19/193440.png,28,75,75,76,74,76,72,63,45,67,81,75,55,50,68,60,68,69,67,73,65,71,67,76,85,74,42,41,39,64,48,48,1,75.33333333333333,61.75,65.8,65.66666666666667,69,75.5,75,47
R. Amalfitano,https://cdn.sofifa.org/players/4/19/198817.png,28,75,75,72,75,68,23,73,61,74,72,78,70,76,72,63,76,72,67,63,68,77,74,53,78,46,65,49,63,56,50,62,1,71.66666666666667,57.75,73.6,70.33333333333333,68.75,62.75,75,57.5
D. Cataldi,https://cdn.sofifa.org/players/4/19/211361.png,23,75,79,67,69,68,60,72,67,77,74,71,67,73,68,70,79,76,74,69,73,70,75,55,68,65,66,65,70,75,75,52,2,68,69,70.6,75,71.5,65.75,77,67.16666666666667
Martín,https://cdn.sofifa.org/players/4/19/241827.png,22,75,80,72,78,77,70,65,30,75,62,70,60,49,59,77,76,45,74,74,69,69,67,58,77,60,28,23,40,43,35,38,1,75.66666666666667,60,60,66,71.5,65.5,77.5,34.5
Tiago Pinto,https://cdn.sofifa.org/players/4/19/194979.png,30,75,75,64,74,73,59,75,68,76,63,72,67,69,74,73,72,72,86,79,84,73,77,75,82,64,48,49,69,76,73,51,1,70.33333333333333,69.5,69,72.33333333333333,80.5,74.5,75,61
Fernandinho,https://cdn.sofifa.org/players/4/19/211108.png,25,75,78,56,50,49,44,78,67,77,63,50,75,66,74,70,69,64,80,80,72,74,79,87,78,66,67,58,60,75,71,63,1,51.666666666666664,66.5,65.6,67.66666666666667,76.5,77.5,76.5,65.66666666666667
C. Cueva,https://cdn.sofifa.org/players/4/19/214692.png,26,75,75,44,32,31,53,76,73,76,48,49,74,69,60,70,74,68,84,83,81,74,82,67,63,48,67,53,63,70,64,67,1,35.666666666666664,69.5,60,70.66666666666667,80.5,65,75,64
M. Gaćinović,https://cdn.sofifa.org/players/4/19/230564.png,23,75,81,61,64,65,47,81,60,79,65,55,69,76,65,69,78,72,78,78,90,73,79,64,77,53,72,61,51,65,63,62,1,63.333333333333336,66.75,66,73,79.75,68.25,78,62.333333333333336
G. Shoji,https://cdn.sofifa.org/players/4/19/232869.png,25,75,80,78,76,71,72,47,37,57,74,74,29,31,69,35,67,70,75,86,52,73,69,78,82,79,29,28,34,67,49,32,1,75,53.25,55.4,57.333333333333336,71.5,77,77.5,39.833333333333336
L. Rigoni,https://cdn.sofifa.org/players/4/19/138918.png,33,75,75,69,74,70,69,70,49,75,76,73,70,73,76,65,78,76,67,68,62,75,58,72,74,70,61,60,59,79,75,51,2,71,65.75,73.6,73,68,68.5,75,64.16666666666667
M. Krmenčík,https://cdn.sofifa.org/players/4/19/205478.png,25,75,80,17,25,20,76,69,56,71,78,23,78,60,59,55,64,43,72,76,70,72,57,58,65,84,77,66,53,69,65,67,1,20.666666666666668,68,59.6,54,72.5,66,77.5,66.16666666666667
M. Mevlja,https://cdn.sofifa.org/players/4/19/216742.png,28,75,77,78,78,77,73,55,42,58,63,78,35,54,75,52,70,72,71,69,65,71,52,63,71,81,34,48,42,47,32,47,1,77.66666666666667,57,61,64.66666666666667,69,66.75,76,41.666666666666664
C. Daniels,https://cdn.sofifa.org/players/4/19/169638.png,31,75,75,72,76,75,67,74,69,74,64,74,71,71,70,75,74,69,74,69,70,74,72,76,73,68,55,53,68,70,62,72,1,74.33333333333333,71,70,72.66666666666667,71.75,72.25,75,63.333333333333336
K. Stafylidis,https://cdn.sofifa.org/players/4/19/202151.png,24,75,79,75,78,80,51,72,76,75,85,64,41,41,66,77,73,74,76,79,73,74,75,70,70,72,48,68,81,89,85,46,1,77.66666666666667,68.5,59.4,74.66666666666667,75.5,71.75,77,69.5
Sabin Merino,https://cdn.sofifa.org/players/4/19/226215.png,26,75,76,61,55,43,80,80,67,76,60,46,79,73,76,72,71,62,69,78,61,71,44,62,53,66,77,71,66,64,71,69,1,53,75.75,66.8,68.33333333333333,69.75,56.25,75.5,69.66666666666667
A. Flint,https://cdn.sofifa.org/players/4/19/202408.png,28,75,76,74,70,74,83,33,24,57,79,72,52,42,60,21,57,52,47,51,31,72,27,74,69,90,55,38,25,63,26,38,1,72.66666666666667,49.25,61,43.333333333333336,50.25,65,75.5,40.833333333333336
Brais Méndez,https://cdn.sofifa.org/players/4/19/235944.png,21,75,84,45,40,32,52,78,69,80,36,47,75,78,71,64,74,65,71,71,70,74,52,65,70,70,73,65,56,71,72,62,1,39,69.75,61.4,67.66666666666667,71.5,64.25,79.5,66.5
Merino,https://cdn.sofifa.org/players/4/19/225193.png,22,75,84,58,74,65,75,76,68,78,73,75,70,76,68,59,78,74,61,62,64,70,60,69,68,74,62,58,69,66,67,58,1,65.66666666666667,74.25,72.4,70.33333333333333,64.25,67.75,79.5,63.333333333333336
S. Missiroli,https://cdn.sofifa.org/players/4/19/176553.png,32,75,75,64,72,65,61,72,68,77,60,73,74,72,76,69,77,73,66,66,63,75,36,64,76,62,65,67,60,69,60,64,2,67,69.5,71,73,67.5,59.5,75,64.16666666666667
Serantes,https://cdn.sofifa.org/players/4/19/202410.png,28,75,77,25,20,23,19,16,22,25,27,11,13,43,56,17,21,39,55,65,58,71,41,72,44,52,18,13,13,44,14,18,1,22.666666666666668,20.5,30,25.666666666666668,62.25,52.25,76,20
V. Guzmán,https://cdn.sofifa.org/players/4/19/229034.png,23,75,80,71,65,67,77,73,63,74,66,69,69,71,70,63,78,74,75,76,72,75,74,78,81,64,70,48,67,75,74,66,1,67.66666666666667,71.75,69,71.66666666666667,74.5,74.25,77.5,66.66666666666667
D. Biseswar,https://cdn.sofifa.org/players/4/19/178090.png,30,75,75,42,24,23,42,80,85,76,54,31,70,72,68,71,74,72,74,73,77,72,80,70,63,63,66,65,69,75,76,40,1,29.666666666666668,70.75,59,72.33333333333333,74,69,75,65.16666666666667
E. Mas,https://cdn.sofifa.org/players/4/19/214955.png,29,75,75,66,73,76,72,71,64,74,76,76,72,69,70,64,70,67,78,79,73,72,64,79,87,76,55,60,50,71,65,57,1,71.66666666666667,70.25,72.6,67,75.5,76.5,75,59.666666666666664
Nuno Pinto,https://cdn.sofifa.org/players/4/19/179884.png,31,75,75,70,75,73,56,72,73,74,69,73,66,60,70,76,73,68,76,73,78,79,76,69,82,60,49,44,74,67,59,58,1,72.66666666666667,68.75,67.6,72.33333333333333,76.5,71.75,75,58.5
Carlos Mané,https://cdn.sofifa.org/players/4/19/216749.png,24,75,81,38,34,33,64,80,81,74,55,49,79,74,73,69,71,60,84,84,89,73,90,66,63,37,70,72,42,77,72,65,1,35,74.75,66,66.66666666666667,82.5,64,78,66.33333333333333
Borja Valle,https://cdn.sofifa.org/players/4/19/229037.png,25,75,78,56,39,40,55,77,69,76,42,40,79,60,63,75,71,66,73,74,74,76,59,72,72,65,79,69,58,79,71,65,1,45,69.25,56.8,70.66666666666667,74.25,67,76.5,70.16666666666667
Zeca,https://cdn.sofifa.org/players/4/19/168621.png,29,75,75,77,76,75,55,72,61,74,82,77,65,68,77,69,75,75,75,77,74,80,76,65,90,70,60,65,60,69,62,55,1,76,65.5,73.8,73,76.5,75.25,75,61.833333333333336
C. Toselli,https://cdn.sofifa.org/players/4/19/189357.png,30,75,75,20,19,14,17,16,18,33,45,30,20,55,58,20,41,32,56,43,45,68,40,76,44,70,20,24,19,30,20,20,1,17.666666666666668,21,41.6,31,53,57.5,75,22.166666666666668
M. Bizot,https://cdn.sofifa.org/players/4/19/200110.png,27,75,78,11,12,14,16,12,20,32,39,17,13,47,60,20,28,33,45,47,50,74,40,67,32,64,15,13,15,26,14,36,1,12.333333333333334,20,35.2,27,54,50.75,76.5,19.833333333333332
K. Ayhan,https://cdn.sofifa.org/players/4/19/207790.png,23,75,80,75,76,73,69,64,82,68,75,74,50,65,75,68,74,71,65,66,67,75,64,86,68,77,35,41,74,83,71,47,1,74.66666666666667,70.75,67.8,71,68.25,73.75,77.5,58.5
Ricardo Ferreira,https://cdn.sofifa.org/players/4/19/210862.png,25,75,79,81,78,75,77,41,32,61,76,77,51,33,75,29,65,53,50,50,51,71,49,44,60,77,26,34,32,46,22,43,1,78,52.75,62.4,49,55.5,57.5,77,33.833333333333336
N. Roux,https://cdn.sofifa.org/players/4/19/183982.png,30,75,75,43,30,16,84,74,65,74,52,32,75,64,74,66,70,57,69,73,69,70,76,79,66,76,74,74,61,74,74,75,2,29.666666666666668,74.25,59.4,64.33333333333333,70.25,74.25,75,72
Hernâni,https://cdn.sofifa.org/players/4/19/212911.png,26,75,75,38,19,23,55,80,74,77,42,21,75,67,78,72,70,55,92,92,86,73,70,62,60,59,64,67,59,68,65,68,2,26.666666666666668,71.5,56.6,65.66666666666667,85.75,62.75,75,65.16666666666667
M. Çağıran,https://cdn.sofifa.org/players/4/19/199601.png,25,75,79,69,71,65,76,74,71,75,74,73,65,73,74,72,77,78,69,68,69,73,61,82,79,78,63,52,74,80,74,66,1,68.33333333333333,74,71.8,75.66666666666667,69.75,75,77,68.16666666666667
W. Morgan,https://cdn.sofifa.org/players/4/19/136113.png,34,75,75,76,76,75,76,58,14,61,79,75,39,49,68,17,55,47,30,30,28,76,48,73,50,87,19,23,18,52,35,17,2,75.66666666666667,52.25,62,39.666666666666664,41,64.5,75,27.333333333333332
J. Alonso,https://cdn.sofifa.org/players/4/19/220337.png,25,75,80,69,74,73,73,63,41,68,79,74,55,56,70,68,65,69,64,74,66,69,62,73,76,85,54,39,39,58,55,41,1,72,61.25,66.8,67.33333333333333,68.25,74,77.5,47.666666666666664
M. Wakaso,https://cdn.sofifa.org/players/4/19/188337.png,27,75,75,77,73,72,50,75,66,76,85,74,71,71,65,74,76,71,87,87,81,77,85,85,81,74,55,76,57,85,69,36,1,74,66.75,73.2,73.66666666666667,83,81.25,75,63
K. Traoré,https://cdn.sofifa.org/players/4/19/245682.png,26,75,75,26,33,32,51,75,72,76,57,41,77,76,78,66,74,71,81,72,82,74,67,51,71,54,64,61,73,55,62,71,1,30.333333333333332,68.5,65.8,70.33333333333333,77.25,60.75,75,64.33333333333333
Y. Mvogo,https://cdn.sofifa.org/players/4/19/206003.png,24,75,80,28,18,12,24,18,14,27,37,13,13,58,30,13,24,22,43,41,58,71,57,71,28,74,10,19,20,22,14,20,1,19.333333333333332,20.75,30.2,19.666666666666668,53.25,57.5,77.5,17.5
Kaíquão Castro,https://cdn.sofifa.org/players/4/19/230323.png,34,75,75,23,10,10,10,9,8,21,36,22,11,71,67,9,20,16,34,38,31,72,41,67,41,81,8,9,7,23,7,19,1,14.333333333333334,12,41.4,15,43.75,57.5,75,12.166666666666666
K. Fofana,https://cdn.sofifa.org/players/4/19/245683.png,26,75,75,23,37,46,72,72,63,75,67,40,72,69,83,66,74,58,59,77,63,72,60,69,83,77,75,74,59,78,73,74,1,35.333333333333336,70.5,66.2,66,67.75,72.25,75,72.16666666666667
P. Hurtado,https://cdn.sofifa.org/players/4/19/211124.png,27,75,75,48,34,28,72,75,68,76,42,45,72,74,72,70,74,71,80,83,75,70,73,80,65,59,72,70,72,76,71,69,1,36.666666666666664,72.75,61,71.66666666666667,77,69.25,75,71.66666666666667
D. Bocanegra,https://cdn.sofifa.org/players/4/19/214196.png,31,75,75,83,72,68,72,61,65,72,76,69,53,61,68,73,72,58,69,74,59,76,56,79,87,74,42,46,78,72,73,52,1,74.33333333333333,67.5,65.4,67.66666666666667,69.5,74,75,60.5
Melero,https://cdn.sofifa.org/players/4/19/227508.png,24,75,81,72,75,72,75,70,68,75,69,76,70,76,65,55,74,73,59,63,61,73,67,68,73,69,74,52,67,71,73,78,1,73,72,71.2,67.33333333333333,64,69.25,78,69.16666666666667
Borja Bastón,https://cdn.sofifa.org/players/4/19/194996.png,25,75,78,55,32,24,76,66,68,74,61,23,78,65,70,51,68,54,51,62,62,73,34,53,63,91,75,76,46,78,72,72,2,37,71,59.4,57.666666666666664,62,60.25,76.5,69.83333333333333
O. Murillo,https://cdn.sofifa.org/players/4/19/198581.png,30,75,75,71,77,66,75,46,35,56,76,79,29,44,70,59,61,65,66,72,54,70,43,85,66,83,42,22,27,43,35,32,1,71.33333333333333,53,59.6,61.666666666666664,65.5,69.25,75,33.5
O. Onazi,https://cdn.sofifa.org/players/4/19/202934.png,25,75,78,70,75,73,53,72,70,75,69,74,68,72,65,67,74,74,83,78,90,71,91,55,85,68,51,68,50,78,77,60,1,72.66666666666667,67.5,69.6,71.66666666666667,80.5,74.75,76.5,64
C. Günter,https://cdn.sofifa.org/players/4/19/209846.png,25,75,76,69,75,74,57,72,71,68,83,72,59,51,67,76,69,59,73,87,67,71,63,53,85,76,38,39,68,70,49,44,2,72.66666666666667,67,66.4,68,74.5,69.25,75.5,51.333333333333336
I. Amadou,https://cdn.sofifa.org/players/4/19/211382.png,25,75,80,74,76,70,65,65,34,68,80,76,42,65,67,45,76,73,69,73,63,76,68,74,77,82,39,29,32,75,62,51,2,73.33333333333333,58,66,64.66666666666667,70.25,75.25,77.5,48
Unai López,https://cdn.sofifa.org/players/4/19/222390.png,22,75,82,57,72,59,51,75,73,76,72,69,68,73,62,71,75,74,74,72,75,70,89,74,79,54,74,55,79,63,71,46,1,62.666666666666664,68.75,68.8,73.33333333333333,72.75,74,78.5,64.66666666666667
K. Iheanacho,https://cdn.sofifa.org/players/4/19/225719.png,21,75,83,28,25,23,60,77,69,76,61,21,79,65,71,49,67,61,78,78,72,71,68,62,69,70,77,73,64,75,72,73,1,25.333333333333332,70.5,59.4,59,74.75,67.25,79,72.33333333333333
C. Söyüncü,https://cdn.sofifa.org/players/4/19/232119.png,22,75,83,69,84,80,68,57,39,59,81,71,42,49,59,46,56,55,67,72,64,69,58,68,67,78,37,48,37,65,42,52,1,77.66666666666667,55.75,60.4,52.333333333333336,68,67.75,79,46.833333333333336
B. Pearson,https://cdn.sofifa.org/players/4/19/213689.png,23,75,81,73,75,74,50,69,45,71,95,74,57,63,72,52,71,67,71,69,70,66,75,85,90,78,47,40,40,63,44,42,1,74,58.75,72.2,63.333333333333336,69,82,78,46
F. Niederlechner,https://cdn.sofifa.org/players/4/19/211899.png,27,75,75,27,35,28,69,71,59,68,80,35,77,59,69,54,64,48,68,75,67,74,62,64,77,78,79,73,44,81,72,66,1,30,66.75,64,55.333333333333336,71,70.25,75,69.16666666666667
S. Denswil,https://cdn.sofifa.org/players/4/19/205756.png,25,75,79,75,75,75,76,63,68,68,76,71,41,64,74,44,73,70,45,53,60,71,53,55,64,85,46,43,76,83,60,63,1,75,68.75,65.2,62.333333333333336,57.25,64.25,77,61.833333333333336
G. Rodríguez,https://cdn.sofifa.org/players/4/19/142780.png,34,75,75,74,73,71,80,57,50,67,81,75,32,65,75,38,63,65,62,67,64,71,58,81,66,78,45,23,46,69,36,72,2,72.66666666666667,63.5,65.6,55.333333333333336,66,70.75,75,48.5
P. Guiñazú,https://cdn.sofifa.org/players/4/19/161468.png,39,75,75,76,76,68,60,63,65,70,84,73,67,69,74,63,82,68,58,61,56,58,77,75,89,79,48,25,30,65,60,55,1,73.33333333333333,64.5,73.4,71,58.25,80,75,47.166666666666664
H. Hateboer,https://cdn.sofifa.org/players/4/19/220093.png,24,75,80,73,77,75,63,77,41,75,71,65,67,67,67,77,75,70,76,82,64,74,64,74,86,72,55,52,30,72,58,47,1,75,64,67.4,74,74,74,77.5,52.333333333333336
I. Fernández,https://cdn.sofifa.org/players/4/19/215998.png,28,75,75,67,62,56,56,78,73,75,72,62,70,75,72,71,76,74,75,75,74,72,66,33,82,70,64,62,69,74,76,61,1,61.666666666666664,70.5,70.2,73.66666666666667,74,62.75,75,67.66666666666667
L. Blas,https://cdn.sofifa.org/players/4/19/231102.png,20,75,84,27,62,60,58,79,69,79,64,57,69,69,68,77,77,74,84,71,79,62,74,62,63,60,67,70,52,72,72,65,1,49.666666666666664,71.25,65.4,76,74,64.75,79.5,66.33333333333333
M. Sarr,https://cdn.sofifa.org/players/4/19/235454.png,19,75,84,72,77,75,73,62,68,67,68,74,59,63,78,68,74,69,74,72,74,72,70,78,79,79,49,37,40,50,40,44,1,74.66666666666667,67.5,68.4,70.33333333333333,73,76.5,79.5,43.333333333333336
Mikel Rico,https://cdn.sofifa.org/players/4/19/146111.png,33,75,75,69,77,75,58,62,52,70,72,78,69,77,82,55,75,76,54,39,68,80,73,79,79,76,61,53,63,80,64,60,1,73.66666666666667,60.5,75.6,68.66666666666667,60.25,76.75,75,63.5
F. Neuhaus,https://cdn.sofifa.org/players/4/19/234943.png,21,75,85,64,59,64,54,77,66,78,57,59,64,78,74,59,77,74,74,67,78,77,75,54,75,58,59,61,41,68,73,49,1,62.333333333333336,68.75,66.4,70,74,65.5,80,58.5
