Name,Photo,Overall,Potential,Value,Wage,Age,Height,InternationalReputation
A. Gray,https://cdn.sofifa.org/players/4/19/194138.png,76,77,9,53,27,5'11,1
F. Guarín,https://cdn.sofifa.org/players/4/19/169051.png,76,76,6,16,32,6'0,3
Yoel,https://cdn.sofifa.org/players/4/19/185181.png,76,76,5,18,29,6'1,2
S. Widmer,https://cdn.sofifa.org/players/4/19/216158.png,76,78,7.5,23,25,6'0,2
B. Dzsudzsák,https://cdn.sofifa.org/players/4/19/182879.png,76,76,0,0,31,5'10,3
P. Mantalos,https://cdn.sofifa.org/players/4/19/208224.png,76,77,9,1,26,5'9,1
S. Proto,https://cdn.sofifa.org/players/4/19/47201.png,76,76,1.8,20,35,6'0,2
A. Mehmedi,https://cdn.sofifa.org/players/4/19/188770.png,76,76,8,40,27,6'0,2
Pablo,https://cdn.sofifa.org/players/4/19/201315.png,76,77,7.5,34,27,6'2,1
I. Slimani,https://cdn.sofifa.org/players/4/19/217699.png,76,76,7.5,62,30,6'2,3
C. Erkin,https://cdn.sofifa.org/players/4/19/171875.png,76,76,6,41,29,5'11,2
D. Chygrynskyi,https://cdn.sofifa.org/players/4/19/176483.png,76,76,5,1,31,6'2,2
Beto,https://cdn.sofifa.org/players/4/19/182629.png,76,76,1,12,36,6'0,2
A. Samaris,https://cdn.sofifa.org/players/4/19/208230.png,76,76,6,12,29,6'2,2
G. Lapadula,https://cdn.sofifa.org/players/4/19/211302.png,76,76,8,20,28,5'10,2
Dênildo Stein,https://cdn.sofifa.org/players/4/19/230502.png,76,76,7.5,30,30,5'11,1
S. Padt,https://cdn.sofifa.org/players/4/19/192358.png,76,78,6.5,8,28,6'6,1
S. Taïder,https://cdn.sofifa.org/players/4/19/198760.png,76,76,8,30,26,5'11,2
F. Klaus,https://cdn.sofifa.org/players/4/19/202088.png,76,77,9,38,25,5'11,1
H. Nordtveit,https://cdn.sofifa.org/players/4/19/182888.png,76,77,7,31,28,6'2,2
L. Zuffi,https://cdn.sofifa.org/players/4/19/210538.png,76,77,7,25,28,5'11,1
Emilio Piodão,https://cdn.sofifa.org/players/4/19/230250.png,76,76,6.5,13,26,5'10,1
S. Zuber,https://cdn.sofifa.org/players/4/19/190059.png,76,77,7.5,29,26,6'0,1
J. Palomino,https://cdn.sofifa.org/players/4/19/217196.png,76,78,7.5,25,28,6'2,1
Y. Mutō,https://cdn.sofifa.org/players/4/19/228717.png,76,79,10,46,25,5'10,1
J. Altidore,https://cdn.sofifa.org/players/4/19/176237.png,76,76,8,10,28,6'0,3
M. Barbosa,https://cdn.sofifa.org/players/4/19/142959.png,76,76,3.9,22,33,6'2,1
G. Laborde,https://cdn.sofifa.org/players/4/19/209519.png,76,81,10.5,24,24,5'11,1
P. Baysse,https://cdn.sofifa.org/players/4/19/178031.png,76,76,5.5,34,30,6'0,1
Eric Botteghin,https://cdn.sofifa.org/players/4/19/203888.png,76,76,5.5,13,30,6'3,1
Iván Alejo,https://cdn.sofifa.org/players/4/19/231280.png,76,81,10.5,20,23,6'0,1
S. Blanco,https://cdn.sofifa.org/players/4/19/190577.png,76,76,7.5,9,30,5'6,1
Thiago Mendes,https://cdn.sofifa.org/players/4/19/213874.png,76,79,8,28,26,5'10,1
D. Brosinski,https://cdn.sofifa.org/players/4/19/189043.png,76,76,6,25,29,5'10,1
T. Monconduit,https://cdn.sofifa.org/players/4/19/203128.png,76,78,7.5,18,27,6'0,1
Andrés Fernández,https://cdn.sofifa.org/players/4/19/146296.png,76,76,4.7,22,31,6'2,1
Eraso,https://cdn.sofifa.org/players/4/19/223608.png,76,76,8,29,28,5'11,1
S. Hanni,https://cdn.sofifa.org/players/4/19/188536.png,76,77,9,1,27,5'10,1
M. Konaté,https://cdn.sofifa.org/players/4/19/211321.png,76,80,10,20,25,6'0,1
C. Théréau,https://cdn.sofifa.org/players/4/19/164985.png,76,76,3.4,40,35,6'2,2
A. Donatti,https://cdn.sofifa.org/players/4/19/215162.png,76,76,5,19,31,6'4,1
T. Jedvaj,https://cdn.sofifa.org/players/4/19/215930.png,76,83,9.5,40,22,6'0,2
Pedro Henrique,https://cdn.sofifa.org/players/4/19/219258.png,76,81,8.5,10,25,6'3,1
J. Briand,https://cdn.sofifa.org/players/4/19/134779.png,76,76,6,41,32,5'11,2
F. Lustenberger,https://cdn.sofifa.org/players/4/19/177019.png,76,76,5.5,24,30,5'11,2
J. Ayew,https://cdn.sofifa.org/players/4/19/197756.png,76,76,8.5,31,26,6'0,2
S. Sanogo,https://cdn.sofifa.org/players/4/19/204156.png,76,76,6,22,29,6'0,1
R. Thomas,https://cdn.sofifa.org/players/4/19/184190.png,76,76,5.5,21,30,6'4,2
Rafael Cachoira,https://cdn.sofifa.org/players/4/19/230528.png,76,76,5.5,20,30,6'2,1
N. Sansone,https://cdn.sofifa.org/players/4/19/201858.png,76,77,9,32,26,5'9,2
E. Bičakčić,https://cdn.sofifa.org/players/4/19/201860.png,76,76,6,31,28,6'1,2
J. Veltman,https://cdn.sofifa.org/players/4/19/208004.png,76,77,7.5,16,26,6'0,2
A. Knockaert,https://cdn.sofifa.org/players/4/19/203910.png,76,76,8.5,44,26,5'8,1
Douglas Santos,https://cdn.sofifa.org/players/4/19/210822.png,76,80,8.5,12,24,5'9,1
S. Bocchetti,https://cdn.sofifa.org/players/4/19/168326.png,76,76,5,1,31,6'1,2
E. Valencia,https://cdn.sofifa.org/players/4/19/220295.png,76,76,8,55,28,5'10,2
F. Mollet,https://cdn.sofifa.org/players/4/19/209288.png,76,77,9,25,26,5'7,1
D. Dumfries,https://cdn.sofifa.org/players/4/19/233096.png,76,81,8.5,13,22,6'2,1
Koo Ja Cheol,https://cdn.sofifa.org/players/4/19/182152.png,76,76,7.5,25,29,6'0,2
A. Petagna,https://cdn.sofifa.org/players/4/19/215689.png,76,81,10.5,25,23,6'3,1
De Tomás,https://cdn.sofifa.org/players/4/19/210315.png,76,83,11,105,23,5'11,1
E. Balanta,https://cdn.sofifa.org/players/4/19/213899.png,76,82,9,23,25,5'11,1
T. Koubek,https://cdn.sofifa.org/players/4/19/200332.png,76,79,7,21,25,6'6,1
J. Allen,https://cdn.sofifa.org/players/4/19/184716.png,76,76,7.5,44,28,5'6,2
Alan Carvalho,https://cdn.sofifa.org/players/4/19/188044.png,76,76,8,21,28,6'0,2
S. Ristovski,https://cdn.sofifa.org/players/4/19/205965.png,76,77,7.5,12,26,5'11,1
Maicón,https://cdn.sofifa.org/players/4/19/188045.png,76,76,8,19,28,6'0,1
D. Quintero,https://cdn.sofifa.org/players/4/19/190607.png,76,76,7.5,10,30,5'5,1
P. Højbjerg,https://cdn.sofifa.org/players/4/19/213648.png,76,81,10,38,22,6'1,2
I. Santini,https://cdn.sofifa.org/players/4/19/208017.png,76,76,7.5,23,29,6'2,1
Vieirinha,https://cdn.sofifa.org/players/4/19/177553.png,76,76,4.3,1,32,5'8,2
M. Boselli,https://cdn.sofifa.org/players/4/19/161938.png,76,76,4.8,32,33,6'1,2
L. Antonelli,https://cdn.sofifa.org/players/4/19/173204.png,76,76,5,14,31,6'0,2
B. Embolo,https://cdn.sofifa.org/players/4/19/222357.png,76,86,12.5,24,21,6'1,2
V. Eysseric,https://cdn.sofifa.org/players/4/19/201878.png,76,77,9,53,26,5'11,2
C. Salcedo,https://cdn.sofifa.org/players/4/19/212888.png,76,80,8.5,25,24,6'1,1
A. Ranocchia,https://cdn.sofifa.org/players/4/19/182168.png,76,76,5.5,47,30,6'5,2
L. Unnerstall,https://cdn.sofifa.org/players/4/19/199833.png,76,78,6,12,27,6'6,1
T. Baumgartl,https://cdn.sofifa.org/players/4/19/223641.png,76,81,8.5,25,22,6'3,1
F. Bustos,https://cdn.sofifa.org/players/4/19/236441.png,76,83,9,16,22,5'6,1
P. Jansson,https://cdn.sofifa.org/players/4/19/194201.png,76,78,7.5,38,27,6'5,1
W. Vainqueur,https://cdn.sofifa.org/players/4/19/181402.png,76,76,6,18,29,5'10,2
S. Kverkvelia,https://cdn.sofifa.org/players/4/19/205469.png,76,80,8.5,1,26,6'5,1
Rubén Blanco,https://cdn.sofifa.org/players/4/19/211101.png,76,83,8,14,22,6'2,1
P. Aguilar,https://cdn.sofifa.org/players/4/19/182941.png,76,76,5,23,31,5'11,1
A. Ndiaye Diedhiou,https://cdn.sofifa.org/players/4/19/233631.png,76,85,12,17,21,5'8,1
D. Limberský,https://cdn.sofifa.org/players/4/19/163488.png,76,76,2.2,1,34,5'11,2
G. Cabral,https://cdn.sofifa.org/players/4/19/165536.png,76,76,4.4,21,32,6'0,2
J. De Guzmán,https://cdn.sofifa.org/players/4/19/177569.png,76,76,7,32,30,5'9,2
S. Terodde,https://cdn.sofifa.org/players/4/19/183714.png,76,76,7.5,23,30,6'4,2
J. Fernandes,https://cdn.sofifa.org/players/4/19/209827.png,76,76,7.5,16,29,6'0,1
Kiko Femenía,https://cdn.sofifa.org/players/4/19/189860.png,76,77,7,44,27,5'9,1
Recio,https://cdn.sofifa.org/players/4/19/201893.png,76,79,8,26,27,6'0,1
A. Samedov,https://cdn.sofifa.org/players/4/19/147621.png,76,76,4.7,1,33,5'10,2
A. Smith,https://cdn.sofifa.org/players/4/19/190885.png,76,76,6.5,51,27,5'11,1
Maurício,https://cdn.sofifa.org/players/4/19/184999.png,76,76,6,1,29,5'11,1
D. Stephens,https://cdn.sofifa.org/players/4/19/182184.png,76,76,7.5,46,29,6'1,1
Miguel Lopes,https://cdn.sofifa.org/players/4/19/188840.png,76,76,5,17,31,6'0,2
I. Belfodil,https://cdn.sofifa.org/players/4/19/194728.png,76,78,9.5,35,26,6'3,2
J. Campbell,https://cdn.sofifa.org/players/4/19/204713.png,76,77,9,19,26,5'10,2
Marc Roca,https://cdn.sofifa.org/players/4/19/235945.png,76,87,11.5,17,21,6'0,1
M. Veljković,https://cdn.sofifa.org/players/4/19/221354.png,76,83,9.5,21,22,6'0,1
J. Willems,https://cdn.sofifa.org/players/4/19/205995.png,76,79,8,25,24,5'10,2
A. Lennon,https://cdn.sofifa.org/players/4/19/152747.png,76,76,7,48,31,5'5,2
F. Forster,https://cdn.sofifa.org/players/4/19/172203.png,76,77,5.5,33,30,6'7,2
Júnior Caiçara,https://cdn.sofifa.org/players/4/19/192427.png,76,76,6,24,29,5'8,2
C. Biraghi,https://cdn.sofifa.org/players/4/19/201389.png,76,78,7.5,42,25,6'1,1
Aritz Elustondo,https://cdn.sofifa.org/players/4/19/226221.png,76,80,8.5,21,24,5'11,1
Fred Aníbão,https://cdn.sofifa.org/players/4/19/230317.png,76,76,5.5,12,26,6'4,1
O. Romero,https://cdn.sofifa.org/players/4/19/220334.png,76,77,9,16,25,5'9,1
Nelsildo Reis,https://cdn.sofifa.org/players/4/19/230318.png,76,76,4.9,17,30,6'3,1
V. Koziello,https://cdn.sofifa.org/players/4/19/225199.png,76,82,10.5,19,22,5'6,2
A. Cresswell,https://cdn.sofifa.org/players/4/19/189615.png,76,76,6,63,28,5'9,2
Alex Berenguer,https://cdn.sofifa.org/players/4/19/225201.png,76,81,10.5,34,22,5'9,1
C. Davies,https://cdn.sofifa.org/players/4/19/163761.png,76,76,3.1,38,33,6'2,2
C. Kouyaté,https://cdn.sofifa.org/players/4/19/186801.png,76,76,6,46,28,6'2,2
Y. Kobayashi,https://cdn.sofifa.org/players/4/19/233138.png,76,76,7.5,12,30,5'10,1
Camarasa,https://cdn.sofifa.org/players/4/19/219571.png,76,83,10.5,20,24,6'0,1
J. Martin,https://cdn.sofifa.org/players/4/19/197813.png,76,76,7.5,20,28,6'0,2
J. Grealish,https://cdn.sofifa.org/players/4/19/206517.png,76,84,11.5,18,22,5'9,1
D. Pelkas,https://cdn.sofifa.org/players/4/19/208053.png,76,79,10,1,24,5'10,1
J. Montero,https://cdn.sofifa.org/players/4/19/186805.png,76,76,8,30,28,5'8,2
J. Forrest,https://cdn.sofifa.org/players/4/19/200630.png,76,76,8.5,48,26,5'9,1
Varela,https://cdn.sofifa.org/players/4/19/178614.png,76,76,5.5,1,30,6'1,1
M. Antenucci,https://cdn.sofifa.org/players/4/19/188599.png,76,76,4.8,17,33,5'10,1
R. Durmisi,https://cdn.sofifa.org/players/4/19/211385.png,76,81,8.5,33,24,5'6,1
P. Schwegler,https://cdn.sofifa.org/players/4/19/158905.png,76,76,5,29,31,5'10,2
A. Hunt,https://cdn.sofifa.org/players/4/19/158138.png,76,76,7,16,31,6'0,2
Aday Benítez,https://cdn.sofifa.org/players/4/19/198843.png,76,76,5.5,26,30,5'10,1
K. Tierney,https://cdn.sofifa.org/players/4/19/226491.png,76,86,11,32,21,5'10,1
Jaume,https://cdn.sofifa.org/players/4/19/220604.png,76,78,6,23,27,6'1,1
S. Gigot,https://cdn.sofifa.org/players/4/19/219581.png,76,81,8.5,1,24,6'2,1
I. Brizuela,https://cdn.sofifa.org/players/4/19/190653.png,76,76,8,36,27,5'7,1
A. Souquet,https://cdn.sofifa.org/players/4/19/193470.png,76,77,7.5,19,26,5'10,2
A. Delort,https://cdn.sofifa.org/players/4/19/193983.png,76,77,9,30,26,5'11,2
P. Zabaleta,https://cdn.sofifa.org/players/4/19/142784.png,76,76,3,60,33,5'10,3
Andeson Trigo,https://cdn.sofifa.org/players/4/19/230337.png,76,76,5.5,25,30,5'9,1
J. Gnagnon,https://cdn.sofifa.org/players/4/19/231361.png,76,83,9.5,11,21,6'0,1
Mosquera,https://cdn.sofifa.org/players/4/19/178625.png,76,76,5.5,10,30,6'0,2
I. Bebou,https://cdn.sofifa.org/players/4/19/216258.png,76,81,10.5,28,24,6'0,1
R. Morrison,https://cdn.sofifa.org/players/4/19/201155.png,76,79,9.5,40,25,5'9,1
L. Christodoulopoulos,https://cdn.sofifa.org/players/4/19/178115.png,76,76,7,1,31,6'0,1
J. McArthur,https://cdn.sofifa.org/players/4/19/171972.png,76,76,7,48,30,5'10,1
R. Olsen,https://cdn.sofifa.org/players/4/19/207557.png,76,76,5.5,41,28,6'5,1
W. Hoedt,https://cdn.sofifa.org/players/4/19/216774.png,76,80,8.5,34,24,6'2,2
R. Holding,https://cdn.sofifa.org/players/4/19/228295.png,76,83,9.5,64,22,6'2,1
F. Montero,https://cdn.sofifa.org/players/4/19/190919.png,76,76,7.5,15,30,5'9,2
N. Sliti,https://cdn.sofifa.org/players/4/19/205257.png,76,77,9,15,25,5'8,1
J. Vázquez,https://cdn.sofifa.org/players/4/19/209610.png,76,76,5.5,20,30,5'5,1
Rodrigo Ely,https://cdn.sofifa.org/players/4/19/202445.png,76,80,8.5,18,24,6'2,1
M. Benítez,https://cdn.sofifa.org/players/4/19/214989.png,76,80,10,18,24,5'8,1
Y. Yazıcı,https://cdn.sofifa.org/players/4/19/231887.png,76,83,11,22,21,6'0,1
Y. Sankharé,https://cdn.sofifa.org/players/4/19/184271.png,76,76,7.5,39,28,6'0,2
A. N'Diaye,https://cdn.sofifa.org/players/4/19/188879.png,76,77,7,28,28,6'2,1
S. Bell,https://cdn.sofifa.org/players/4/19/198352.png,76,77,7.5,24,26,6'4,1
K. Linetty,https://cdn.sofifa.org/players/4/19/211408.png,76,83,10.5,28,23,5'9,2
F. Uduokhai,https://cdn.sofifa.org/players/4/19/232144.png,76,84,10,26,20,6'4,1
M. Samatta,https://cdn.sofifa.org/players/4/19/218066.png,76,79,10,18,25,6'0,1
Barragán,https://cdn.sofifa.org/players/4/19/169426.png,76,76,5,21,31,6'0,1
R. Hamouma,https://cdn.sofifa.org/players/4/19/192722.png,76,76,7,30,31,5'10,2
L. Skorupski,https://cdn.sofifa.org/players/4/19/189908.png,76,79,6.5,23,27,6'2,2
Toño García,https://cdn.sofifa.org/players/4/19/204757.png,76,76,6,22,28,5'10,1
A. Szalai,https://cdn.sofifa.org/players/4/19/184789.png,76,76,7.5,35,30,6'4,2
Raúl Navas,https://cdn.sofifa.org/players/4/19/198614.png,76,76,5.5,24,30,6'1,1
B. Koné,https://cdn.sofifa.org/players/4/19/183766.png,76,76,5.5,20,30,6'2,2
J. Brekalo,https://cdn.sofifa.org/players/4/19/234711.png,76,84,11.5,33,20,5'9,1
Diego Tardelli,https://cdn.sofifa.org/players/4/19/138456.png,76,76,4.7,20,33,5'10,2
A. Hegazi,https://cdn.sofifa.org/players/4/19/210648.png,76,78,7.5,31,27,6'4,1
M. Sels,https://cdn.sofifa.org/players/4/19/199641.png,76,79,6.5,14,26,6'3,1
D. Gray,https://cdn.sofifa.org/players/4/19/220633.png,76,83,11,50,22,5'11,1
M. Pjaca,https://cdn.sofifa.org/players/4/19/229593.png,76,83,11,75,23,6'1,2
M. Arambarri,https://cdn.sofifa.org/players/4/19/232665.png,76,81,8.5,18,22,5'9,1
A. Ćorić,https://cdn.sofifa.org/players/4/19/229594.png,76,88,14,38,21,5'9,1
T. Gebre Selassie,https://cdn.sofifa.org/players/4/19/186330.png,76,76,5,24,31,5'11,2
C. Nkunku,https://cdn.sofifa.org/players/4/19/232411.png,76,84,11.5,46,20,5'10,1
M. Topal,https://cdn.sofifa.org/players/4/19/124635.png,76,76,4.4,51,32,6'2,2
Léo Matos,https://cdn.sofifa.org/players/4/19/158942.png,76,76,4.3,1,32,6'0,1
F. Kainz,https://cdn.sofifa.org/players/4/19/195038.png,76,77,9,28,25,5'9,1
B. Henrichs,https://cdn.sofifa.org/players/4/19/228579.png,76,84,9.5,36,21,6'0,2
Victildinho,https://cdn.sofifa.org/players/4/19/230371.png,76,76,2.2,13,34,5'10,1
D. Praet,https://cdn.sofifa.org/players/4/19/199652.png,76,81,10,28,24,5'11,2
A. Umar,https://cdn.sofifa.org/players/4/19/229092.png,76,81,10.5,13,23,5'9,1
J. Orozco,https://cdn.sofifa.org/players/4/19/163301.png,76,76,4.4,16,32,6'0,2
N. El Zhar,https://cdn.sofifa.org/players/4/19/183526.png,76,76,7,28,31,5'7,1
O. Colley,https://cdn.sofifa.org/players/4/19/226536.png,76,81,8.5,28,25,6'3,1
J. Aholou,https://cdn.sofifa.org/players/4/19/220905.png,76,83,9.5,44,24,6'2,1
G. Clichy,https://cdn.sofifa.org/players/4/19/152554.png,76,76,4.3,23,32,5'9,3
Rubén Sobrino,https://cdn.sofifa.org/players/4/19/208622.png,76,78,9.5,25,26,6'1,1
J. Iturbe,https://cdn.sofifa.org/players/4/19/199151.png,76,79,9.5,23,25,5'7,2
H. Soudani,https://cdn.sofifa.org/players/4/19/205295.png,76,76,7.5,51,30,5'10,1
M. Bradley,https://cdn.sofifa.org/players/4/19/155887.png,76,76,5.5,8,30,6'2,2
Z. Labyad,https://cdn.sofifa.org/players/4/19/198640.png,76,79,9.5,17,25,5'8,1
D. Mbokani,https://cdn.sofifa.org/players/4/19/177392.png,76,76,6,15,32,6'1,2
T. Mangani,https://cdn.sofifa.org/players/4/19/178160.png,76,76,6.5,23,31,6'0,2
A. Lunin,https://cdn.sofifa.org/players/4/19/243952.png,76,88,10.5,24,19,6'3,1
E. Insúa,https://cdn.sofifa.org/players/4/19/179696.png,76,76,6,31,29,5'11,2
N. Domingo,https://cdn.sofifa.org/players/4/19/167665.png,76,76,3.1,19,33,5'9,1
D. Yedlin,https://cdn.sofifa.org/players/4/19/212722.png,76,81,8.5,34,24,5'8,1
D. González,https://cdn.sofifa.org/players/4/19/214770.png,76,76,7,22,30,5'11,1
T. Kraft,https://cdn.sofifa.org/players/4/19/179954.png,76,76,5,21,29,6'2,2
M. Simon,https://cdn.sofifa.org/players/4/19/216820.png,76,82,10.5,20,22,5'6,1
Davi Parrela,https://cdn.sofifa.org/players/4/19/230388.png,76,76,5.5,16,30,6'3,1
N. Domínguez,https://cdn.sofifa.org/players/4/19/216054.png,76,77,7,12,28,6'0,1
C. Dawson,https://cdn.sofifa.org/players/4/19/194806.png,76,76,6,32,28,6'2,2
A. Rusnák,https://cdn.sofifa.org/players/4/19/210423.png,76,80,10,8,23,5'9,1
Paulo Oliveira,https://cdn.sofifa.org/players/4/19/210679.png,76,78,7.5,21,27,6'2,1
A. Gomis,https://cdn.sofifa.org/players/4/19/201976.png,76,82,7.5,9,24,6'4,1
H. Tekin,https://cdn.sofifa.org/players/4/19/199417.png,76,77,6,44,29,6'2,1
Tozé,https://cdn.sofifa.org/players/4/19/212729.png,76,80,10,11,25,5'5,1
R. Ruidíaz,https://cdn.sofifa.org/players/4/19/204538.png,76,76,8,10,27,5'7,1
J. Hogg,https://cdn.sofifa.org/players/4/19/183546.png,76,76,6,42,29,5'9,1
L. Holtby,https://cdn.sofifa.org/players/4/19/188154.png,76,76,8,16,27,5'9,2
A. Djiku,https://cdn.sofifa.org/players/4/19/212219.png,76,82,9,18,23,6'0,1
O. Alonso,https://cdn.sofifa.org/players/4/19/190971.png,76,76,4.4,8,32,5'11,1
S. Berge,https://cdn.sofifa.org/players/4/19/228092.png,76,87,11.5,11,20,6'5,1
C. Zambrano,https://cdn.sofifa.org/players/4/19/187132.png,76,77,7,25,28,6'1,2
M. Antonio,https://cdn.sofifa.org/players/4/19/190717.png,76,76,8,69,28,5'10,2
J. Clasie,https://cdn.sofifa.org/players/4/19/199422.png,76,77,8.5,44,27,5'7,2
Diego Rico,https://cdn.sofifa.org/players/4/19/220414.png,76,80,8,49,25,6'0,1
Mossoró,https://cdn.sofifa.org/players/4/19/176894.png,76,76,3.9,25,34,5'7,1
G. Donsah,https://cdn.sofifa.org/players/4/19/221695.png,76,82,10.5,27,22,5'9,1
S. Fofana,https://cdn.sofifa.org/players/4/19/216320.png,75,82,9,22,23,6'0,2
Pablo Santos,https://cdn.sofifa.org/players/4/19/239872.png,75,78,7,13,26,6'2,1
J. Svensson,https://cdn.sofifa.org/players/4/19/198657.png,75,78,7,13,25,5'7,1
E. Roco,https://cdn.sofifa.org/players/4/19/212225.png,75,78,7,36,25,6'4,2
F. Midtsjø,https://cdn.sofifa.org/players/4/19/198658.png,75,78,8.5,13,24,5'9,1
Francis,https://cdn.sofifa.org/players/4/19/240898.png,75,80,9,19,22,5'9,1
Ivi,https://cdn.sofifa.org/players/4/19/222467.png,75,81,9,19,24,5'9,1
Unai Núñez,https://cdn.sofifa.org/players/4/19/240900.png,75,83,8.5,14,21,6'1,1
L. Lerager,https://cdn.sofifa.org/players/4/19/217605.png,75,78,8.5,31,24,6'1,1
P. De Blasis,https://cdn.sofifa.org/players/4/19/210950.png,75,75,6.5,21,30,5'5,1
M. Zajc,https://cdn.sofifa.org/players/4/19/233478.png,75,82,9.5,13,24,5'10,1
J. Stanislas,https://cdn.sofifa.org/players/4/19/189446.png,75,75,6.5,55,28,6'0,1
Lucas Evangelista,https://cdn.sofifa.org/players/4/19/215559.png,75,80,9,21,23,5'11,1
M. Stoch,https://cdn.sofifa.org/players/4/19/186119.png,75,75,6.5,1,28,5'7,2
S. van Beek,https://cdn.sofifa.org/players/4/19/213000.png,75,78,7,11,23,6'2,1
Fabrio Farinha,https://cdn.sofifa.org/players/4/19/230408.png,75,75,7,31,26,5'10,1
M. Kozáčik,https://cdn.sofifa.org/players/4/19/181256.png,75,75,2.7,1,34,6'4,1
Fran Sol,https://cdn.sofifa.org/players/4/19/210441.png,75,76,8,11,26,5'11,1
R. Otero,https://cdn.sofifa.org/players/4/19/217097.png,75,76,8,23,25,5'7,1
G. Maripán,https://cdn.sofifa.org/players/4/19/219145.png,75,79,7.5,17,24,6'4,1
M. Braithwaite,https://cdn.sofifa.org/players/4/19/193290.png,75,76,8,53,27,5'11,2
E. Dilaver,https://cdn.sofifa.org/players/4/19/204043.png,75,77,6.5,1,27,6'0,1
R. Álvarez,https://cdn.sofifa.org/players/4/19/204555.png,75,75,6.5,21,30,6'2,2
A. Masuaku,https://cdn.sofifa.org/players/4/19/212491.png,75,79,7,49,24,5'10,1
Rolando,https://cdn.sofifa.org/players/4/19/163083.png,75,75,3.8,35,32,6'2,2
Fran Rico,https://cdn.sofifa.org/players/4/19/174859.png,75,75,4.9,9,30,5'10,1
D. Tarasov,https://cdn.sofifa.org/players/4/19/187659.png,75,75,4.5,1,31,6'4,1
Alcalá,https://cdn.sofifa.org/players/4/19/189709.png,75,75,5,26,29,6'5,1
Alan Patrick,https://cdn.sofifa.org/players/4/19/200206.png,75,75,7,1,27,5'10,1
L. Refaelov,https://cdn.sofifa.org/players/4/19/164878.png,75,75,5,13,32,5'9,2
Y. Gazinskiy,https://cdn.sofifa.org/players/4/19/216335.png,75,75,0,0,28,6'0,1
Palhinha,https://cdn.sofifa.org/players/4/19/229391.png,75,82,8,10,22,6'3,1
Balenziaga,https://cdn.sofifa.org/players/4/19/190223.png,75,75,4.8,20,30,5'10,1
R. Petrović,https://cdn.sofifa.org/players/4/19/195087.png,75,75,5,12,29,6'4,1
K. Ansarifard,https://cdn.sofifa.org/players/4/19/197136.png,75,75,7,51,28,6'2,1
M. Ninković,https://cdn.sofifa.org/players/4/19/195088.png,75,75,4,10,33,5'11,2
A. Talavera,https://cdn.sofifa.org/players/4/19/156433.png,75,75,1.6,11,35,6'2,2
A. Barrada,https://cdn.sofifa.org/players/4/19/192274.png,75,75,6.5,18,29,5'10,1
J. Korb,https://cdn.sofifa.org/players/4/19/204307.png,75,76,6.5,28,26,5'10,2
F. Gutiérrez,https://cdn.sofifa.org/players/4/19/203796.png,75,75,7,9,27,5'7,2
T. Bongonda,https://cdn.sofifa.org/players/4/19/217877.png,75,81,9,14,22,5'9,1
Simão Donatinho,https://cdn.sofifa.org/players/4/19/230165.png,75,75,2.7,20,34,6'2,1
Luís Hernández,https://cdn.sofifa.org/players/4/19/205590.png,75,75,5,10,29,6'0,1
L. Balogun,https://cdn.sofifa.org/players/4/19/188182.png,75,75,4.9,38,30,6'3,1
M. Rog,https://cdn.sofifa.org/players/4/19/236311.png,75,81,9,43,22,5'11,2
B. Dočkal,https://cdn.sofifa.org/players/4/19/181271.png,75,75,6.5,15,29,6'0,1
J. Durmaz,https://cdn.sofifa.org/players/4/19/189207.png,75,75,6.5,28,29,5'11,2
T. Kádár,https://cdn.sofifa.org/players/4/19/186648.png,75,75,5.5,1,28,6'2,1
E. Andrada,https://cdn.sofifa.org/players/4/19/205849.png,75,78,5.5,16,27,6'4,1
Z. Steffen,https://cdn.sofifa.org/players/4/19/234777.png,75,84,8,5,23,6'3,1
M. Lestienne,https://cdn.sofifa.org/players/4/19/192537.png,75,76,8,16,26,5'9,1
M. Alustiza,https://cdn.sofifa.org/players/4/19/186650.png,75,75,3.4,21,34,5'5,1
Borja Mayoral,https://cdn.sofifa.org/players/4/19/228635.png,75,83,10,86,21,6'0,1
Saúl Berjón,https://cdn.sofifa.org/players/4/19/189211.png,75,75,5,12,32,5'10,1
C. Beauvue,https://cdn.sofifa.org/players/4/19/183068.png,75,75,6.5,23,30,5'9,1
J. Hendrick,https://cdn.sofifa.org/players/4/19/200478.png,75,77,8,46,26,6'0,1
M. Lopez,https://cdn.sofifa.org/players/4/19/224030.png,75,81,9,29,20,5'6,1
F. Hanin,https://cdn.sofifa.org/players/4/19/194846.png,75,75,5.5,10,28,5'10,1
D. Machís,https://cdn.sofifa.org/players/4/19/210463.png,75,78,8.5,26,25,5'7,1
A. Potuk,https://cdn.sofifa.org/players/4/19/194079.png,75,76,7.5,53,27,5'10,1
Idris,https://cdn.sofifa.org/players/4/19/216097.png,75,75,2.7,8,33,6'2,1
N. Cardozo,https://cdn.sofifa.org/players/4/19/157217.png,75,75,5.5,20,31,5'8,1
Javi López,https://cdn.sofifa.org/players/4/19/195361.png,75,75,3.7,23,32,5'11,1
G. Pandev,https://cdn.sofifa.org/players/4/19/137506.png,75,75,3.5,18,34,6'0,2
Júlio Tavares,https://cdn.sofifa.org/players/4/19/210722.png,75,75,6.5,17,29,6'2,1
D. Liénard,https://cdn.sofifa.org/players/4/19/235042.png,75,75,6,18,30,6'0,1
